RegioNaam;@invalid;@blank;CDA;PvdA;VVD;Regenboog;D66;SGP-GPV-RPF;Centrumdemocraten;SP;Initiatief voor Europese Democratie;God Met Ons;@abs
Aalburg-G0738;31;;1430;628;292;71;94;1572;14;3;11;4;3454
Aalsmeer-G0358;47;;3262;1679;1793;392;441;309;59;12;57;14;8801
Aalten-G0197;31;;4685;1670;562;343;219;312;28;5;24;16;5587
Aardenburg-G0648;12;;580;395;312;39;64;21;16;4;8;5;1240
Aarle-Rixtel-G0739;20;;1121;505;234;87;103;17;14;13;14;12;2018
Abcoude-G0305;0;;1270;589;880;236;275;150;27;6;29;17;2377
Achtkarspelen-G0059;72;;4876;4210;546;394;251;1309;22;9;14;12;8046
Adorp-G0001;2;;320;209;86;86;28;125;1;0;2;0;473
Aduard-G0002;1;;423;416;114;75;46;210;5;1;3;0;827
Akersloot-G0360;4;;860;388;323;108;177;17;9;8;10;11;1901
Alblasserdam-G0482;30;;1491;2670;595;242;341;1306;59;14;19;13;6107
Albrandswaard-G0613;25;;1934;1340;1117;231;367;336;52;15;15;15;5453
Alkemade-G0483;12;;2705;790;711;289;229;33;33;8;22;12;5266
Alkmaar-G0361;159;;7105;9644;3754;2973;1929;549;231;284;125;131;37378
Almelo-G0141;134;;7607;9053;2437;1002;1129;650;143;74;50;90;22032
Almere-G0034;82;;2572;7499;3095;1769;1638;299;406;99;104;40;27339
Alphen aan den Rijn-G0484;110;;6977;4417;3793;1299;1472;1414;144;368;84;57;22652
Alphen en Riel-G0741;11;;1352;404;272;70;102;5;14;5;12;12;2268
Ambt Delden-G0142;17;;1982;313;273;44;46;4;1;5;4;15;1333
Ameland-G0060;13;;748;483;207;84;83;30;9;0;1;4;708
Amerongen-G0306;9;;977;617;441;118;135;427;16;5;10;2;2260
Amersfoort-G0307;114;;10611;9124;4780;3420;2235;3087;227;112;148;68;38937
Ammerzoden-G0198;10;;849;421;113;26;49;54;6;0;2;5;1573
Amstelveen-G0362;140;;7736;6596;7462;2284;2548;568;264;44;193;82;27028
Amsterdam-G0363;1344;;29184;82540;25079;38870;15950;2433;4687;1391;1526;546;308496
Andijk-G0364;13;;880;541;216;122;90;241;13;4;15;3;2058
Angerlo-G0199;12;;848;569;156;67;88;6;9;3;2;0;1502
Anloo-G0105;16;;332;1550;806;219;226;52;5;9;7;3;2459
Anna Paulowna-G0366;19;;1296;824;764;136;196;98;22;5;9;20;4190
Apeldoorn-G0200;290;;17414;14835;8358;2983;3848;3811;326;120;405;120;57834
Appingedam-G0003;26;;1277;2438;393;247;196;208;17;22;11;8;4772
Arcen en Velden-G0885;16;;1929;537;289;134;119;23;8;20;9;19;3279
Arnemuiden-G0649;9;;337;219;133;30;42;601;3;1;3;4;1768
Arnhem-G0202;280;;11279;15263;5755;4769;3294;1074;360;570;233;176;56376
Assen-G0106;132;;4311;8491;2566;1483;1157;1866;81;127;58;25;16877
Asten-G0743;33;;3421;1018;432;250;193;11;16;25;19;40;5418
Avereest-G0143;28;;2785;1607;698;177;221;437;21;5;14;12;4580
Axel-G0650;34;;1255;1103;438;111;161;680;20;10;9;8;5225
Baarle-Nassau-G0744;11;;1238;385;261;71;71;14;15;0;6;10;2174
Baarn-G0308;43;;2979;2358;2326;633;677;590;101;24;52;24;9108
Baexem-G0886;5;;636;143;76;13;44;4;3;1;3;0;898
Baflo-G0004;5;;458;401;155;129;66;107;1;4;2;1;793
Bakel en Milheeze-G0745;14;;1846;446;182;78;78;1;7;4;6;13;2896
Barendrecht-G0489;25;;3105;1495;1281;403;555;1247;70;19;38;9;6476
Barneveld-G0203;85;;6929;1542;1784;391;473;5052;54;26;28;34;12666
Barsingerhorn-G0369;11;;180;632;315;81;60;6;12;3;6;2;1653
Bathmen-G0144;15;;662;602;726;99;212;24;4;1;8;2;1580
Bedum-G0005;13;;1822;1155;321;213;185;861;5;5;6;5;2522
Beegden-G0887;3;;371;207;43;21;27;0;5;0;0;1;678
Beek-G0888;63;;3027;1692;655;318;330;33;30;18;15;63;6856
Beek en Donk-G0746;15;;1632;872;207;207;117;7;10;23;11;16;3715
Beemster-G0370;17;;959;893;821;191;165;30;9;4;14;6;2812
Beers-G0747;5;;874;274;111;43;56;0;1;3;4;5;944
Beerta-G0006;13;;55;833;128;427;23;11;5;10;7;0;870
Beesel-G0889;22;;2081;1111;330;156;161;14;28;14;14;31;5327
Beilen-G0107;36;;1975;2769;874;287;266;289;15;23;11;15;4129
Belfeld-G0890;6;;992;472;140;68;66;4;7;8;0;6;2092
Bellingwedde-G0007;29;;521;2784;383;287;126;109;21;6;4;5;3223
Bemmel-G0206;27;;2511;1511;452;141;276;19;10;10;12;16;6872
Bennebroek-G0372;27;;993;385;654;173;163;47;14;3;13;13;2044
Benthuizen-G0490;3;;361;221;231;74;77;500;8;2;13;3;980
Bergambacht-G0491;18;;957;1225;675;128;178;806;23;9;12;2;2625
Bergen-G0373;33;;1644;1415;1431;543;436;62;37;16;30;16;5082
Bergen-G0893;28;;2844;1226;312;115;179;12;21;11;7;29;4994
Bergen op Zoom-G0748;85;;5078;3703;2066;640;857;137;208;99;66;33;20817
Bergeyk-G0749;15;;2267;793;357;159;132;14;28;10;8;46;3524
Bergh-G0207;60;;3373;2046;601;153;228;55;30;6;30;38;6990
Berghem-G0750;20;;800;632;125;43;80;5;11;115;7;14;2330
Bergschenhoek-G0492;11;;1452;460;550;135;150;216;25;5;5;12;2573
Berkel en Rodenrijs-G0493;25;;3135;855;1028;281;473;788;36;15;24;19;4649
Berkel-Enschot-G0751;19;;2261;721;689;178;274;33;14;3;17;11;3516
Berlicum-G0752;19;;1579;825;298;113;153;14;8;48;9;17;3387
Bernisse-G0568;23;;1480;1335;960;194;322;177;29;16;11;6;4776
Best-G0753;48;;3517;1794;816;326;362;97;51;51;27;30;9011
Beuningen-G0209;21;;2587;2010;702;433;512;56;17;28;11;32;9674
Beverwijk-G0375;60;;3510;4297;1359;988;676;190;91;21;64;57;15724
Bierum-G0008;6;;755;546;170;101;64;67;6;3;5;4;1507
Binnenmaas-G0585;28;;2128;2132;1505;268;426;691;47;21;29;5;6712
Bladel en Netersel-G0754;24;;1848;699;314;148;155;16;11;29;15;17;4084
Blaricum-G0376;17;;1185;831;1283;298;386;87;21;4;45;9;3664
Bleiswijk-G0495;18;;1639;477;664;93;221;299;10;4;11;10;2844
Bloemendaal-G0377;45;;2334;1180;2736;450;564;148;26;10;111;36;6175
Boarnsterhim-G0055;44;;1523;3999;1185;416;408;125;9;11;22;5;5592
Bodegraven-G0497;38;;3004;1091;930;276;360;820;33;15;18;24;6150
Boekel-G0755;31;;2021;703;204;106;85;12;7;14;11;15;3199
Bolsward-G0064;26;;1808;1441;339;201;189;106;6;4;5;16;3304
Borculo-G0211;31;;1437;1748;923;172;254;49;16;10;17;15;3013
Borger-G0108;40;;1253;2994;771;279;253;145;11;12;13;4;3971
Born-G0897;69;;2978;1452;397;186;222;21;34;5;16;48;5063
Borne-G0147;6;;4285;2327;970;350;488;96;13;29;18;37;7066
Borsele-G0654;26;;2847;1482;758;272;340;1469;41;6;31;25;7511
Boskoop-G0499;26;;2448;876;1062;417;390;511;37;5;25;17;4682
Boxmeer-G0756;37;;2994;1691;532;281;272;22;25;52;17;16;4800
Boxtel-G0757;54;;3328;2211;731;428;405;53;38;389;30;35;10472
Brakel-G0212;19;;661;543;138;46;45;891;9;7;6;2;2315
Breda-G0758;119;;13482;12286;5553;2951;2891;331;405;219;183;144;55534
Brederwiede-G0194;33;;2020;1489;579;156;223;674;9;5;15;2;3746
Breukelen-G0311;17;;2020;803;891;337;423;700;26;9;63;11;4981
Briefstemmen-G9999;387;;4813;4348;7193;1577;1270;545;130;120;344;104;7787
Brielle-G0501;25;;1367;1789;1226;338;454;144;49;23;13;10;5983
Broek in Waterland-G0380;7;;268;348;289;102;84;15;5;1;8;0;968
Broekhuizen-G0898;3;;477;142;74;38;21;2;2;3;2;5;593
Brouwershaven-G0656;5;;291;704;332;52;79;152;6;4;6;1;1176
Bruinisse-G0657;7;;350;344;184;23;38;404;3;1;1;9;978
Brummen-G0213;44;;1970;3660;1353;409;460;135;35;9;34;9;7486
Brunssum-G0899;57;;3941;4377;582;375;456;143;73;190;24;105;13066
Budel-G0759;35;;1839;900;257;89;94;17;31;21;15;19;5411
Bunnik-G0312;16;;2429;1016;1135;617;478;219;24;15;28;11;4485
Bunschoten-G0313;43;;2590;472;440;103;171;3840;43;4;15;4;4430
Buren-G0214;11;;885;1106;819;180;203;191;43;6;14;4;3800
Bussum-G0381;19;;3690;2667;3242;1112;815;474;34;10;80;74;13184
Callantsoog-G0382;9;;224;255;262;44;51;18;4;4;2;1;1058
Capelle aan den IJssel-G0502;24;;3796;5777;3104;927;1282;2407;179;117;63;31;25437
Castricum-G0383;39;;2980;2264;1791;832;851;101;61;16;68;28;8473
Chaam-G0760;9;;867;297;160;48;67;4;7;2;0;1;1263
Coevorden-G0109;32;;2228;2560;599;186;209;112;20;24;8;7;4930
Cothen-G0314;1;;547;142;88;29;43;27;6;2;3;2;916
Cromstrijen-G0611;16;;1104;1641;710;145;227;492;25;12;16;3;4603
Cuijk en Sint Agatha-G0761;43;;2292;1974;521;336;427;13;39;43;24;23;6484
Culemborg-G0216;6;;1996;2026;882;518;418;205;75;168;21;7;8832
Dalen-G0110;15;;540;1054;644;59;104;12;4;3;2;1;1643
Dalfsen-G0148;35;;3888;967;656;178;261;922;9;4;15;13;4235
Dantumadeel-G0065;50;;3209;2677;392;250;225;1326;9;5;17;16;5648
De Bilt-G0310;66;;4021;3174;3882;1097;1332;739;70;53;112;40;10254
De Lier-G0552;11;;2533;371;569;103;164;190;38;3;12;10;3135
De Ronde Venen-G0736;43;;4887;1576;2218;486;663;776;72;16;63;34;11854
De Wijk-G0135;13;;576;677;496;86;119;36;11;6;5;0;1672
Delft-G0503;173;;8321;10498;4474;4191;2950;1247;272;232;344;97;36223
Delfzijl-G0010;41;;1788;3881;957;505;408;474;43;48;21;18;9598
Den Dungen-G0768;14;;838;378;81;50;51;5;4;13;3;8;1776
Den Ham-G0159;21;;3424;1308;278;114;113;691;10;1;4;12;4433
Den Helder-G0400;104;;4883;6071;3436;704;1272;793;125;27;51;64;29440
Denekamp-G0149;44;;3893;929;297;108;146;15;17;3;14;57;3672
Deurne-G0762;52;;5157;2112;775;445;299;19;42;45;25;49;12527
Deventer-G0150;145;;5190;10725;3024;2234;1733;483;114;53;128;45;25335
Didam-G0218;27;;2867;1810;448;167;248;14;28;15;20;16;6493
Diemen-G0384;53;;1383;2062;1157;642;542;84;116;32;44;25;7598
Diepenheim-G0151;1;;364;557;289;58;48;10;1;2;1;1;724
Diepenveen-G0152;33;;2296;1086;909;186;285;62;16;1;13;37;3179
Diessen-G0763;8;;1074;202;102;36;30;3;0;2;6;11;1415
Diever-G0111;10;;466;722;358;99;70;35;4;1;2;1;957
Dinteloord en Prinsenland-G0764;14;;674;618;283;44;73;248;11;5;5;7;2219
Dinxperlo-G0219;33;;1793;813;250;71;77;68;12;3;1;5;2644
Dirksland-G0504;22;;689;733;316;62;75;1068;9;6;1;7;2508
Dodewaard-G0220;6;;457;510;126;39;49;224;3;3;2;6;1483
Doesburg-G0221;16;;1210;1710;426;157;217;95;19;86;15;7;3765
Doetinchem-G0222;64;;5286;5589;1881;1006;944;427;74;56;67;34;15534
Domburg-G0660;6;;636;381;299;75;87;370;7;1;10;3;1153
Dongen-G0766;7;;3007;1898;741;316;403;33;15;302;26;34;8937
Dongeradeel-G0058;75;;6005;2526;640;420;289;755;18;12;13;15;7106
Doorn-G0315;25;;1369;745;1239;244;370;337;15;7;33;13;3774
Dordrecht-G0505;105;;8382;12521;4303;2374;1920;2531;326;104;95;57;47710
Drechterland-G0498;13;;1553;638;406;198;183;31;10;6;7;27;3103
Driebergen-Rijsenburg-G0316;25;;2604;1416;1598;633;657;755;38;3;60;14;6171
Dronten-G0303;63;;3672;2046;1545;525;525;826;74;14;38;14;7521
Drunen-G0767;36;;2879;1477;684;200;303;38;48;71;20;31;6826
Druten-G0225;21;;2058;1633;391;220;245;22;20;20;16;17;6107
Duiveland-G0662;10;;467;563;318;34;86;865;8;2;3;5;1531
Duiven-G0226;12;;1996;1264;580;182;301;51;26;19;22;9;5898
Dussen-G0769;11;;1008;603;220;64;79;157;19;1;4;12;2317
Dwingeloo-G0112;15;;502;767;429;95;112;30;7;6;7;1;930
Echt-G0902;75;;3243;1555;343;235;534;37;27;6;16;81;7277
Echteld-G0227;11;;617;1081;334;63;92;504;5;2;7;1;2061
Edam-Volendam-G0385;51;;4066;1826;1022;342;252;44;52;11;29;213;9923
Ede-G0228;87;;12809;5804;5071;1920;1720;7466;166;172;156;84;30997
Eelde-G0113;39;;849;1753;1217;285;452;62;33;18;7;12;3428
Eemnes-G0317;15;;1051;517;557;186;249;152;11;2;20;11;2570
Eenrum-G0011;4;;96;635;160;108;46;54;2;2;0;2;707
Eersel-G0770;21;;2575;853;506;270;248;41;15;10;22;43;4379
Egmond-G0357;32;;1596;1271;730;307;177;38;37;6;30;22;4503
Eibergen-G0229;46;;4310;2133;583;302;284;47;16;33;16;15;4466
Eijsden-G0905;41;;1932;1050;423;181;197;11;10;10;21;62;4527
Eindhoven-G0772;176;;21661;17423;6485;5163;3637;778;407;704;246;321;91357
Elburg-G0230;50;;2798;1060;884;178;229;2780;26;11;12;18;6433
Elst-G0231;6;;2560;1566;711;313;382;64;10;30;16;9;7684
Emmen-G0114;202;;10382;19228;2927;1679;1404;1019;83;285;80;81;33058
Enkhuizen-G0388;47;;1731;2176;670;459;305;326;20;14;31;8;6008
Enschede-G0153;72;;13035;20131;5968;3300;2999;2782;174;267;188;100;59859
Epe-G0232;100;;4393;4406;2435;458;750;1195;80;17;62;32;11588
Ermelo-G0233;49;;4691;1027;1512;541;412;1784;53;53;42;13;8545
Erp-G0775;28;;1910;358;150;60;69;1;1;13;2;7;1869
Esch-G0776;6;;489;166;58;32;42;0;1;2;0;6;655
Etten-Leur-G0777;49;;4088;3075;1149;489;704;66;50;44;32;39;13503
Ezinge-G0012;2;;246;341;106;81;35;23;2;7;0;0;506
Ferwerderadeel-G0068;23;;1817;933;280;132;96;349;5;3;5;4;2863
Fijnaart en Heijningen-G0778;14;;990;767;247;58;87;53;17;3;11;4;2513
Finsterwolde-G0013;10;;31;691;70;456;27;18;3;4;2;2;740
Franekeradeel-G0070;68;;3348;3118;928;414;323;409;18;15;21;18;6646
Gaasterlân-Sleat-G0653;15;;2022;691;395;158;127;352;8;9;9;16;2987
Gasselte-G0115;11;;316;989;262;81;60;38;0;4;4;3;1464
Geertruidenberg-G0779;8;;785;705;208;59;124;19;19;16;10;3;3087
Geffen-G0780;13;;780;371;130;39;33;1;10;54;0;9;2154
Geldermalsen-G0236;29;;2832;2447;1368;371;397;1055;67;17;18;7;7717
Geldrop-G0781;25;;3658;2223;1182;568;596;94;50;65;31;41;11037
Geleen-G0906;25;;4928;3966;764;765;469;40;49;72;31;96;15159
Gemert-G0782;30;;3679;1592;414;332;201;23;15;54;26;24;6689
Gendringen-G0237;59;;4441;2224;529;272;298;45;28;19;15;38;6966
Gendt-G0238;8;;1119;780;155;93;115;4;12;2;8;5;2941
Genemuiden-G0154;10;;635;402;129;20;42;1370;4;4;3;1;2331
Gennep-G0907;25;;2385;1281;465;270;531;21;23;14;11;29;7226
Giessenlanden-G0689;11;;1961;1733;1089;184;268;955;30;3;11;7;4142
Gieten-G0116;21;;384;1340;647;130;132;29;9;2;5;2;1900
Gilze en Rijen-G0784;31;;3782;2234;814;300;490;31;79;47;29;28;8782
Goedereede-G0511;38;;1166;796;471;85;107;2104;16;11;9;10;3038
Goes-G0664;55;;3772;3309;1365;677;590;1846;32;34;43;39;12630
Goirle-G0785;33;;2534;1677;642;395;380;41;24;29;17;25;7673
Goor-G0156;27;;1727;2226;665;183;306;91;31;24;21;7;3741
Gorinchem-G0512;45;;2348;4369;1302;523;504;696;106;22;32;16;10670
Gorssel-G0239;33;;2419;1613;1568;296;443;98;24;4;33;12;4229
Gouda-G0513;102;;5713;7421;3059;1747;1822;2006;370;82;106;57;23357
Graafstroom-G0693;24;;1634;538;336;108;83;1294;10;3;6;3;2339
Graft-De Rijp-G0365;10;;683;656;470;164;133;17;14;5;10;5;1969
Gramsbergen-G0157;26;;1444;874;197;71;74;188;2;0;5;6;1518
Grathem-G0909;7;;736;152;98;24;44;2;6;1;1;5;1101
Grave-G0786;24;;1601;895;425;240;230;35;15;50;10;21;4242
Grijpskerk-G0016;17;;1058;385;175;121;87;228;2;0;5;0;1026
Groenlo-G0240;4;;1969;927;247;121;148;5;10;11;12;20;3181
Groesbeek-G0241;40;;2905;2538;550;418;296;33;26;37;30;45;7410
Groningen-G0014;483;;11058;26918;7504;11238;5140;4861;223;958;315;115;69094
Grootegast-G0015;22;;1981;821;215;101;69;470;4;2;3;0;2777
Grubbenvorst-G0912;12;;1418;438;301;78;104;13;5;4;5;11;2654
Gulpen-G0913;16;;1393;903;191;114;113;21;10;7;6;53;2838
Haaksbergen-G0158;58;;5141;2304;1068;317;451;57;22;18;20;38;7388
Haaren-G0788;11;;1183;316;166;115;76;5;2;7;10;16;1974
Haarlem-G0392;266;;13399;17608;7176;5468;3679;1132;395;141;380;309;67469
Haarlemmerliede en Spaarnwoude-G0393;12;;818;387;305;119;132;33;20;1;15;16;1976
Haarlemmermeer-G0394;55;;10357;6838;6609;1867;2157;1364;245;53;227;84;39753
Haelen-G0914;15;;1354;448;159;99;91;7;9;2;6;31;2334
Halsteren-G0789;23;;1487;1164;486;170;196;37;29;5;20;9;6031
Haps-G0790;7;;819;242;78;29;39;0;1;0;3;2;866
Hardenberg-G0160;107;;7063;3153;813;339;391;3035;29;21;22;23;7936
Harderwijk-G0243;20;;5364;2114;1724;606;476;1945;42;28;32;8;12268
