RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PSP/CPN/PPR;Politieke Partij Radikalen (PPR);RPF/GPV;Gereformeerd Politiek Verbond (GPV);Communistische Partij van Nederland;Groenen;Pacifistisch-Socialistische Partij (PSP);PSP/CPN;SP;SGP-GPV-RPF;NL;Centrumdemocraten;RPF/SGP;Reformatorische Politieke Federatie (RPF);FNP;Evangelische Volkspartij (EVP);SAP;FPGB;HP;Centrumpartij;@abs
Aalburg-G0738;17;0;1920;824;472;135;;76.0;;;;;;;;7.0;1857.0;;;;;;;0.0;;;;2001.0
Aalsmeer-G0358;52;0;4347;2316;2826;673;;;153.0;;;48.0;166.0;116.0;;0.0;325.0;;28.0;;;;;2.0;;;;4960.0
Aalten-G0197;29;0;5714;2206;954;335;36.0;328.0;;324.0;;;89.0;;;3.0;;;;;;;;0.0;;;;3074.0
Aardenburg-G0648;14;0;721;490;501;104;16.0;;46.0;7.0;;;;;17.0;0.0;;;;;;;;;;;;762.0
Aarle-Rixtel-G0739;7;0;1345;748;365;171;;56.0;;;;;;;;17.0;12.0;;;;;;;2.0;;;;1173.0
Abcoude-G0305;15;0;1507;748;1188;418;59.0;;143.0;87.0;;;;;76.0;0.0;;;14.0;;;;;;;10.0;;1254.0
Achtkarspelen-G0059;45;0;5992;5376;800;278;;264.0;;;684.0;;;;;;;;;767.0;;1185.0;;;;;;3769.0
Adorp-G0001;8;0;377;259;140;63;;;51.0;;133.0;11.0;;9.0;;1.0;;;;13.0;;;;;9.0;;;234.0
Aduard-G0002;5;0;555;578;233;68;;;52.0;;196.0;5.0;;17.0;;3.0;;;;14.0;;;;;1.0;;;328.0
Akersloot-G0360;10;0;1138;559;536;220;;;68.0;;;24.0;35.0;31.0;;6.0;23.0;;0.0;;;;;2.0;;;;980.0
Alblasserdam-G0482;31;0;2018;3727;891;465;1071.0;202.0;;314.0;;;63.0;;;0.0;;;28.0;;;;17.0;2.0;;;;3600.0
Albrandswaard-G0613;34;0;2464;2012;1776;578;200.0;180.0;;134.0;;;63.0;;;11.0;;;39.0;;;;17.0;7.0;;;;3300.0
Alkemade-G0483;10;0;3645;1021;1157;299;15.0;230.0;;24.0;;;38.0;;;0.0;;;13.0;;;;8.0;0.0;;;;3305.0
Alkmaar-G0361;167;0;9681;14156;6042;2968;;;1193.0;;;944.0;857.0;1151.0;;121.0;564.0;;0.0;;;;;32.0;;;;24304.0
Almelo-G0141;155;0;9479;13474;3880;1739;149.0;;512.0;;297.0;;;;537.0;;;;;;301.0;;;0.0;;;;13466.0
Almere-G0034;74;0;2666;9883;3501;2437;;;748.0;;119.0;;;;1048.0;223.0;;;;116.0;;;;;;;456.0;13653.0
Alphen aan den Rijn-G0484;104;0;8750;6299;5372;2261;626.0;902.0;;780.0;;;159.0;;;261.0;;;53.0;;;;142.0;13.0;;;;14270.0
Alphen en Riel-G0741;2;0;1823;557;437;130;;64.0;;;;;;;;5.0;2.0;;;;;;;2.0;;;;1341.0
Ambt Delden-G0142;12;0;2402;379;429;75;6.0;;28.0;;1.0;;;;14.0;;;;;;1.0;;;0.0;;;;614.0
Ameland-G0060;10;0;788;567;316;91;;34.0;;;13.0;;;;;;;;;8.0;;7.0;;;;;;456.0
Amerongen-G0306;22;0;1193;833;666;189;379.0;;77.0;155.0;;;;;33.0;4.0;;;8.0;;;;;;;5.0;;1301.0
Amersfoort-G0307;209;0;14289;13453;7193;3630;796.0;;1606.0;2308.0;;;;;1634.0;104.0;;;114.0;;;;;;;61.0;;22696.0
Ammerzoden-G0198;9;0;1159;493;202;64;56.0;21.0;;27.0;;;14.0;;;4.0;;;;;;;;0.0;;;;937.0
Amstelveen-G0362;144;0;9555;8749;11540;3899;;;886.0;;;415.0;571.0;747.0;;22.0;543.0;;195.0;;;;;16.0;;;;16929.0
Amsterdam-G0363;1035;0;39613;126383;40873;26217;;;9462.0;;;18066.0;7233.0;13413.0;;501.0;2266.0;;4121.0;;;;;358.0;;490.0;;219216.0
Andijk-G0364;11;0;1180;734;372;141;;;40.0;;;105.0;38.0;37.0;;0.0;258.0;;0.0;;;;;0.0;;;;1186.0
Angerlo-G0199;14;0;1010;848;237;151;8.0;47.0;;1.0;;;29.0;;;4.0;;;;;;;;0.0;;;;859.0
Anloo-G0105;12;0;347;2171;1323;306;;;68.0;;33.0;;;101.0;;17.0;;;;;14.0;;;;;;;1076.0
Anna Paulowna-G0366;17;0;1505;1366;1560;307;;;88.0;;;20.0;28.0;31.0;;0.0;114.0;;0.0;;;;;3.0;;;;2264.0
Apeldoorn-G0200;267;0;23401;23011;13016;5923;2247.0;2218.0;;2046.0;;;558.0;;;111.0;;;;;;;;0.0;;;;34408.0
Appingedam-G0003;20;0;1634;3546;666;305;;;149.0;;130.0;100.0;;84.0;;31.0;;;;65.0;;;;;48.0;;;2717.0
Arcen en Velden-G0885;8;0;2536;798;466;178;;;77.0;;;;;;74.0;6.0;15.0;34.0;;;;;;;;;;1969.0
Arnemuiden-G0649;9;0;484;361;180;86;563.0;;35.0;261.0;;;;;8.0;3.0;;;;;;;;;;;;937.0
Arnhem-G0202;298;0;14686;23356;9094;5359;312.0;3952.0;;873.0;;;628.0;;;563.0;;;;;;;;77.0;;;;38352.0
Assen-G0106;105;0;5080;11527;4247;1631;;;962.0;;1628.0;;;518.0;;104.0;;;;;338.0;;;;;;;9577.0
Asten-G0743;18;0;4317;1289;610;408;;205.0;;;;;;;;35.0;19.0;;;;;;;22.0;;;;3506.0
Avereest-G0143;20;0;3664;2125;988;319;60.0;;81.0;;158.0;;;;47.0;;;;;;233.0;;;0.0;;;;2531.0
Axel-G0650;29;0;1871;1500;803;249;107.0;;87.0;680.0;;;;;76.0;0.0;;;;;;;;;;;;3493.0
Baarle-Nassau-G0744;16;0;1643;601;339;98;;56.0;;;;;;;;2.0;13.0;;;;;;;1.0;;;;1365.0
Baarn-G0308;44;0;3922;3124;3305;1134;157.0;;452.0;463.0;;;;;292.0;15.0;;;32.0;;;;;;;13.0;;5731.0
Baexem-G0886;11;0;724;215;222;37;;;17.0;;;;;;7.0;1.0;1.0;27.0;;;;;;;;;;477.0
Baflo-G0004;7;0;602;555;223;92;;;58.0;;112.0;14.0;;36.0;;3.0;;;;15.0;;;;;3.0;;;389.0
Bakel en Milheeze-G0745;19;0;2427;598;270;145;;56.0;;;;;;;;16.0;4.0;;;;;;;6.0;;;;1924.0
Barendrecht-G0489;37;0;3842;2104;1940;845;951.0;239.0;;356.0;;;78.0;;;3.0;;;40.0;;;;26.0;11.0;;;;3728.0
Barneveld-G0203;84;0;8790;2203;2675;719;4040.0;261.0;;2038.0;;;121.0;;;11.0;;;;;;;;0.0;;;;6489.0
Barsingerhorn-G0369;6;0;211;977;603;84;;;37.0;;;16.0;29.0;36.0;;1.0;10.0;;0.0;;;;;2.0;;;;903.0
Bathmen-G0144;8;0;911;808;983;245;6.0;;52.0;;14.0;;;;30.0;;;;;;6.0;;;0.0;;;;745.0
Bedum-G0005;18;0;2307;1488;524;330;;;153.0;;828.0;20.0;;36.0;;3.0;;;;130.0;;;;;16.0;;;1122.0
Beegden-G0887;4;0;434;276;72;42;;;16.0;;;;;;9.0;0.0;0.0;20.0;;;;;;;;;;445.0
Beek-G0888;65;0;3610;2299;1052;448;;;439.0;;;;;;99.0;13.0;20.0;586.0;;;;;;;;;;3849.0
Beek en Donk-G0746;18;0;2217;1185;309;210;;188.0;;;;;;;;34.0;15.0;;;;;;;9.0;;;;2373.0
Beemster-G0370;12;0;1325;1240;1271;265;;;74.0;;;57.0;55.0;48.0;;1.0;25.0;;0.0;;;;;2.0;;;;1413.0
Beers-G0747;1;0;1123;306;132;73;;46.0;;;;;;;;7.0;7.0;;;;;;;0.0;;;;530.0
Beerta-G0006;21;0;68;1007;200;44;;;19.0;;4.0;640.0;;18.0;;3.0;;;;7.0;;;;;4.0;;;412.0
Beesel-G0889;48;0;2580;1719;529;161;;;75.0;;;;;;63.0;3.0;5.0;311.0;;;;;;;;;;3433.0
Beilen-G0107;31;0;2487;3618;1583;299;;;162.0;;211.0;;;56.0;;10.0;;;;;54.0;;;;;;;1661.0
Belfeld-G0890;19;0;1361;645;199;104;;;44.0;;;;;;20.0;2.0;6.0;44.0;;;;;;;;;;1226.0
Bellingwedde-G0007;25;0;747;3462;734;198;;;74.0;;21.0;316.0;;47.0;;5.0;;;;79.0;;;;;22.0;;;1650.0
Bemmel-G0206;41;0;3480;2304;719;351;15.0;131.0;;18.0;;;62.0;;;13.0;;;;;;;;0.0;;;;4366.0
Bennebroek-G0372;18;0;1255;516;1102;271;;;82.0;;;14.0;42.0;27.0;;3.0;35.0;;1.0;;;;;0.0;;;;1113.0
Benschop-G0309;8;0;934;188;207;83;300.0;;18.0;59.0;;;;;4.0;3.0;;;5.0;;;;;;;1.0;;444.0
Benthuizen-G0490;3;0;450;304;344;128;443.0;34.0;;74.0;;;21.0;;;0.0;;;5.0;;;;5.0;0.0;;;;497.0
Bergambacht-G0491;21;0;1128;1643;982;265;746.0;72.0;;97.0;;;35.0;;;1.0;;;13.0;;;;5.0;2.0;;;;1414.0
Bergen-G0373;40;0;2070;1932;2284;549;;;183.0;;;79.0;310.0;138.0;;5.0;55.0;;0.0;;;;;3.0;;;;3011.0
Bergen-G0893;40;0;3509;2015;506;267;;;64.0;;;;;;31.0;2.0;11.0;74.0;;;;;;;;;;3059.0
Bergen op Zoom-G0748;78;0;6730;6067;3412;1333;;633.0;;;;;;;;132.0;158.0;;;;;;;0.0;;;;14628.0
Bergeyk-G0749;12;0;3205;938;454;164;;123.0;;;;;;;;7.0;26.0;;;;;;;6.0;;;;2170.0
Bergh-G0207;73;0;4149;2892;913;294;31.0;109.0;;32.0;;;65.0;;;9.0;;;;;;;;0.0;;;;4554.0
Berghem-G0750;14;0;1165;1061;175;101;;53.0;;;;;;;;196.0;4.0;;;;;;;0.0;;;;1200.0
Bergschenhoek-G0492;9;0;1696;696;754;252;66.0;66.0;;177.0;;;46.0;;;2.0;;;17.0;;;;6.0;0.0;;;;1588.0
Berkel en Rodenrijs-G0493;18;0;3854;1149;1490;669;63.0;158.0;;765.0;;;64.0;;;6.0;;;23.0;;;;13.0;3.0;;;;2754.0
Berkel-Enschot-G0751;21;0;2643;972;1131;459;;149.0;;;;;;;;27.0;20.0;;;;;;;0.0;;;;1983.0
Berlicum-G0752;13;0;2129;1286;507;228;;84.0;;;;;;;;61.0;6.0;;;;;;;5.0;;;;1887.0
Bernisse-G0568;27;0;1897;1851;1507;564;135.0;143.0;;74.0;;;62.0;;;14.0;;;18.0;;;;13.0;1.0;;;;2682.0
Best-G0753;34;0;3868;2657;1731;594;;236.0;;;;;;;;93.0;79.0;;;;;;;19.0;;;;5691.0
Beuningen-G0209;41;0;3390;2927;976;704;26.0;353.0;;37.0;;;117.0;;;54.0;;;;;;;;0.0;;;;6251.0
Beverwijk-G0375;131;0;5035;6621;2289;1015;;;363.0;;;452.0;266.0;329.0;;27.0;208.0;;0.0;;;;;15.0;;;;9717.0
Bierum-G0008;12;0;1040;788;296;119;;;58.0;;37.0;10.0;;13.0;;1.0;;;;38.0;;;;;23.0;;;690.0
Binnenmaas-G0585;30;0;2725;2971;2243;634;681.0;186.0;;161.0;;;53.0;;;4.0;;;42.0;;;;20.0;2.0;;;;4075.0
Bladel en Netersel-G0754;15;0;2389;960;476;190;;138.0;;;;;;;;21.0;16.0;;;;;;;12.0;;;;2823.0
Blaricum-G0376;7;0;1636;1089;1927;564;;;109.0;;;35.0;77.0;100.0;;3.0;74.0;;12.0;;;;;7.0;;;;2193.0
Bleiswijk-G0495;9;0;1925;667;989;316;168.0;63.0;;152.0;;;19.0;;;2.0;;;6.0;;;;8.0;2.0;;;;1645.0
Bloemendaal-G0377;65;0;2999;1594;4335;749;;;233.0;;;63.0;170.0;96.0;;7.0;125.0;;18.0;;;;;2.0;;;;3259.0
Boarnsterhim-G0055;30;0;1949;5176;1930;545;;319.0;;;38.0;;;;;;;;;84.0;;582.0;;;;;;2297.0
Bodegraven-G0497;23;0;3799;1601;1387;553;521.0;208.0;;341.0;;;49.0;;;8.0;;;15.0;;;;35.0;0.0;;;;3824.0
Boekel-G0755;21;0;2587;935;355;179;;86.0;;;;;;;;35.0;8.0;;;;;;;4.0;;;;1960.0
Bolsward-G0064;23;0;2348;1904;505;251;;167.0;;;28.0;;;;;;;;;50.0;;207.0;;;;;;1826.0
Borculo-G0211;34;0;1734;2225;1401;318;12.0;100.0;;43.0;;;48.0;;;1.0;;;;;;;;0.0;;;;1405.0
Borger-G0108;26;0;1551;3955;1268;357;;;163.0;;81.0;;;68.0;;13.0;;;;;77.0;;;;;;;1807.0
Born-G0897;67;0;3752;1931;440;579;;;132.0;;;;;;84.0;12.0;20.0;321.0;;;;;;;;;;2748.0
Borne-G0147;8;0;5367;3191;1289;750;25.0;;288.0;;40.0;;;;90.0;;;;;;53.0;;;0.0;;;;3687.0
Borsele-G0654;33;0;4223;2264;1367;526;1384.0;;277.0;229.0;;;;;94.0;0.0;;;;;;;;;;;;4132.0
Boskoop-G0499;29;0;2985;1341;1548;569;328.0;380.0;;258.0;;;46.0;;;7.0;;;32.0;;;;24.0;6.0;;;;2693.0
Boxmeer-G0756;30;0;3615;2295;704;339;;197.0;;;;;;;;88.0;20.0;;;;;;;0.0;;;;3005.0
Boxtel-G0757;35;0;4287;3248;1159;649;;309.0;;;;;;;;847.0;49.0;;;;;;;0.0;;;;6961.0
Brakel-G0212;19;0;938;847;238;68;961.0;38.0;;124.0;;;11.0;;;5.0;;;;;;;;0.0;;;;1324.0
Breda-G0758;249;0;17651;20385;8661;4494;;2779.0;;;;;;;;213.0;405.0;;;;;;;94.0;;;;37199.0
Brederwiede-G0194;34;0;2555;2160;808;390;51.0;;84.0;;591.0;;;;54.0;;;;;;139.0;;;0.0;;;;1792.0
Breukelen-G0311;16;0;1808;906;1465;561;364.0;;222.0;204.0;;;;;74.0;7.0;;;14.0;;;;;;;1.0;;2216.0
Brielle-G0501;21;0;1716;2487;2029;780;58.0;214.0;;85.0;;;82.0;;;5.0;;;35.0;;;;9.0;3.0;;;;3677.0
Broek in Waterland-G0380;8;0;344;483;390;155;;;23.0;;;22.0;33.0;32.0;;3.0;13.0;;0.0;;;;;1.0;;;;565.0
Broekhuizen-G0898;1;0;567;168;160;26;;;9.0;;;;;;24.0;1.0;0.0;1.0;;;;;;;;;;370.0
Brouwershaven-G0656;8;0;348;826;499;145;63.0;;34.0;103.0;;;;;26.0;0.0;;;;;;;;;;;;692.0
Bruinisse-G0657;10;0;457;447;306;63;369.0;;25.0;78.0;;;;;3.0;0.0;;;;;;;;;;;;556.0
Brummen-G0213;52;0;2657;4929;1909;766;50.0;291.0;;93.0;;;123.0;;;7.0;;;;;;;;0.0;;;;4103.0
Brunssum-G0899;70;0;5296;6651;893;896;;;280.0;;;;;;200.0;129.0;146.0;205.0;;;;;;;;;;8295.0
Budel-G0759;30;0;2499;1565;450;163;;42.0;;;;;;;;14.0;19.0;;;;;;;8.0;;;;3722.0
Bunnik-G0312;23;0;3121;1340;1735;671;139.0;;424.0;86.0;;;;;143.0;16.0;;;21.0;;;;;;;9.0;;2307.0
Bunschoten-G0313;30;0;3378;604;610;254;341.0;;49.0;3813.0;;;;;36.0;2.0;;;19.0;;;;;;;9.0;;2468.0
Buren-G0214;15;0;1031;1710;1299;312;176.0;106.0;;47.0;;;95.0;;;12.0;;;;;;;;0.0;;;;2119.0
Bussum-G0381;21;0;4786;3683;4899;1345;;;286.0;;;155.0;185.0;866.0;;9.0;475.0;;42.0;;;;;5.0;;;;8864.0
Callantsoog-G0382;8;0;252;478;429;66;;;19.0;;;12.0;6.0;15.0;;0.0;9.0;;0.0;;;;;0.0;;;;605.0
Capelle aan den IJssel-G0502;34;0;4775;8917;4697;2280;1816.0;724.0;;937.0;;;124.0;;;66.0;;;140.0;;;;30.0;8.0;;;;16877.0
Castricum-G0383;64;0;4014;2995;2965;1292;;;511.0;;;123.0;171.0;214.0;;7.0;77.0;;0.0;;;;;3.0;;;;4671.0
Chaam-G0760;11;0;1084;382;265;103;;25.0;;;;;;;;2.0;0.0;;;;;;;1.0;;;;847.0
Coevorden-G0109;36;0;2691;3327;914;333;;;72.0;;39.0;;;118.0;;19.0;;;;;79.0;;;;;;;2930.0
Cothen-G0314;2;0;725;204;183;54;26.0;;18.0;10.0;;;;;10.0;0.0;;;0.0;;;;;;;0.0;;503.0
Cromstrijen-G0611;17;0;1630;2338;1094;388;445.0;137.0;;92.0;;;33.0;;;3.0;;;17.0;;;;4.0;1.0;;;;2415.0
Cuijk en Sint Agatha-G0761;34;0;2906;2694;785;565;;337.0;;;;;;;;81.0;21.0;;;;;;;0.0;;;;4422.0
Culemborg-G0216;5;0;2734;3078;1408;677;172.0;353.0;;92.0;;;98.0;;;209.0;;;;;;;;0.0;;;;5650.0
Dalen-G0110;15;0;668;1364;932;168;;;29.0;;9.0;;;19.0;;4.0;;;;;6.0;;;;;;;888.0
Dalfsen-G0148;25;0;4886;1431;939;358;49.0;;84.0;;751.0;;;;35.0;;;;;;117.0;;;0.0;;;;2108.0
Dantumadeel-G0065;31;0;4045;3545;627;262;;216.0;;;306.0;;;;;;;;;1246.0;;507.0;;;;;;2730.0
De Bilt-G0310;76;0;5139;4117;5363;1973;334.0;;573.0;505.0;;;;;333.0;16.0;;;52.0;;;;;;;24.0;;6115.0
De Lier-G0552;15;0;3077;518;901;220;45.0;57.0;;152.0;;;17.0;;;4.0;;;16.0;;;;9.0;0.0;;;;1710.0
De Wijk-G0135;5;0;691;980;821;167;;;46.0;;36.0;;;29.0;;3.0;;;;;8.0;;;;;;;808.0
Delft-G0503;153;0;11062;15768;6606;4355;584.0;3855.0;;770.0;;;529.0;;;47.0;;;242.0;;;;133.0;21.0;;;;24203.0
Delfzijl-G0010;31;0;2400;5838;1532;683;;;306.0;;271.0;245.0;;136.0;;44.0;;;;237.0;;;;;50.0;;;5976.0
Den Dungen-G0768;9;0;1125;676;170;76;;33.0;;;;;;;;28.0;2.0;;;;;;;3.0;;;;953.0
Den Ham-G0159;23;0;4299;2094;412;151;69.0;;96.0;;360.0;;;;32.0;;;;;;340.0;;;0.0;;;;2266.0
Den Helder-G0400;111;0;6474;9302;6676;2369;;;445.0;;;226.0;186.0;307.0;;22.0;964.0;;0.0;;;;;19.0;;;;19840.0
Denekamp-G0149;33;0;5055;1227;426;187;6.0;;53.0;;8.0;;;;29.0;;;;;;14.0;;;0.0;;;;1941.0
Deurne-G0762;63;0;7471;3242;1285;550;;466.0;;;;;;;;58.0;48.0;;;;;;;18.0;;;;7694.0
Deventer-G0150;139;0;7095;15392;4383;2413;99.0;;1423.0;;200.0;;;;1161.0;;;;;;217.0;;;92.0;;;;15474.0
Didam-G0218;27;0;3759;2373;607;404;14.0;150.0;;13.0;;;50.0;;;5.0;;;;;;;;0.0;;;;4235.0
Diemen-G0384;67;0;1720;2855;1734;1142;;;193.0;;;237.0;173.0;195.0;;6.0;90.0;;115.0;;;;;6.0;;;;4844.0
Diepenheim-G0151;5;0;428;667;424;102;10.0;;14.0;;0.0;;;;21.0;;;;;;2.0;;;0.0;;;;352.0
Diepenveen-G0152;23;0;2945;1439;1363;446;8.0;;151.0;;13.0;;;;69.0;;;;;;24.0;;;4.0;;;;1561.0
Diessen-G0763;8;0;1358;277;160;60;;54.0;;;;;;;;1.0;1.0;;;;;;;0.0;;;;776.0
Diever-G0111;13;0;545;898;518;115;;;48.0;;25.0;;;20.0;;9.0;;;;;10.0;;;;;;;451.0
Dinteloord en Prinsenland-G0764;22;0;918;945;362;100;;53.0;;;;;;;;6.0;323.0;;;;;;;0.0;;;;1394.0
Dinxperlo-G0219;31;0;2128;1038;362;155;10.0;33.0;;57.0;;;33.0;;;0.0;;;;;;;;0.0;;;;1764.0
Dirksland-G0504;25;0;948;1064;452;130;1138.0;54.0;;135.0;;;22.0;;;0.0;;;7.0;;;;10.0;1.0;;;;1312.0
Dodewaard-G0220;15;0;602;737;234;36;262.0;29.0;;80.0;;;14.0;;;4.0;;;;;;;;0.0;;;;830.0
Doesburg-G0221;19;0;1468;2413;649;269;19.0;119.0;;78.0;;;21.0;;;117.0;;;;;;;;0.0;;;;2366.0
Doetinchem-G0222;87;0;6508;8268;2927;1271;220.0;762.0;;252.0;;;184.0;;;26.0;;;;;;;;0.0;;;;9491.0
Domburg-G0660;8;0;686;544;498;130;299.0;;37.0;88.0;;;;;20.0;4.0;;;;;;;;;;;;655.0
Dongen-G0766;7;0;4145;2591;1067;581;;224.0;;;;;;;;615.0;50.0;;;;;;;0.0;;;;5882.0
Dongeradeel-G0058;37;0;7550;3351;999;320;;309.0;;;367.0;;;;;;;;;582.0;;734.0;;;;;;3393.0
Doorn-G0315;23;0;1745;1040;1851;512;257.0;;143.0;149.0;;;;;104.0;2.0;;;6.0;;;;;;;6.0;;2161.0
Dordrecht-G0505;178;0;11482;19780;7118;3477;1682.0;2309.0;;1290.0;;;315.0;;;83.0;;;292.0;;;;198.0;24.0;;;;30578.0
Drechterland-G0498;16;0;2059;846;701;240;;;97.0;;;54.0;68.0;41.0;;0.0;44.0;;0.0;;;;;0.0;;;;1830.0
Driebergen-Rijsenburg-G0316;28;0;3011;1996;2356;960;522.0;;361.0;315.0;;;;;188.0;4.0;;;23.0;;;;;;;10.0;;3626.0
Driebruggen-G0506;6;0;1175;239;337;110;357.0;23.0;;73.0;;;16.0;;;3.0;;;4.0;;;;6.0;0.0;;;;605.0
Dronten-G0303;37;0;4377;2783;2220;693;;;479.0;;388.0;;;;115.0;0.0;;;;570.0;;;;;;;52.0;3597.0
Drunen-G0767;30;0;3762;2024;941;474;;168.0;;;;;;;;66.0;45.0;;;;;;;0.0;;;;4272.0
Druten-G0225;24;0;2628;2441;582;299;13.0;202.0;;9.0;;;49.0;;;36.0;;;;;;;;0.0;;;;4068.0
Duiveland-G0662;15;0;596;786;476;130;890.0;;19.0;108.0;;;;;16.0;0.0;;;;;;;;;;;;740.0
Duiven-G0226;20;0;2663;1554;769;425;12.0;135.0;;39.0;;;71.0;;;4.0;;;;;;;;0.0;;;;3206.0
Dussen-G0769;10;0;1410;789;323;135;;62.0;;;;;;;;6.0;181.0;;;;;;;0.0;;;;1448.0
Dwingeloo-G0112;7;0;517;977;665;134;;;52.0;;15.0;;;39.0;;4.0;;;;;17.0;;;;;;;414.0
Echt-G0902;82;0;3311;2876;771;227;;;117.0;;;;;;162.0;11.0;18.0;1175.0;;;;;;;;;;4383.0
Echteld-G0227;12;0;782;1352;534;97;552.0;31.0;;76.0;;;17.0;;;6.0;;;;;;;;0.0;;;;1133.0
Edam-Volendam-G0385;37;0;6599;2020;1363;543;;;177.0;;;76.0;120.0;70.0;;2.0;39.0;;0.0;;;;;9.0;;;;6021.0
Ede-G0228;165;0;15941;8194;7899;2714;6671.0;1189.0;;2373.0;;;816.0;;;145.0;;;;;;;;0.0;;;;18199.0
Eelde-G0113;20;0;1004;2352;1906;805;;;161.0;;40.0;;;68.0;;7.0;;;;;31.0;;;;;;;1632.0
Eemnes-G0317;9;0;1331;722;909;416;35.0;;80.0;90.0;;;;;68.0;3.0;;;7.0;;;;;;;3.0;;1444.0
Eenrum-G0011;5;0;143;837;262;74;;;54.0;;53.0;21.0;;20.0;;3.0;;;;8.0;;;;;8.0;;;329.0
Eersel-G0770;22;0;3347;1131;836;410;;197.0;;;;;;;;21.0;25.0;;;;;;;7.0;;;;2660.0
Egmond-G0357;34;0;2061;1861;1058;309;;;123.0;;;77.0;113.0;65.0;;1.0;43.0;;0.0;;;;;1.0;;;;2729.0
Eibergen-G0229;28;0;4962;2668;1059;363;10.0;234.0;;44.0;;;75.0;;;25.0;;;;;;;;0.0;;;;2391.0
Eijsden-G0905;29;0;2584;1528;904;169;;;65.0;;;;;;76.0;3.0;8.0;617.0;;;;;;;;;;2243.0
Eindhoven-G0772;158;0;29982;26602;11150;5835;;4501.0;;;;;;;;1001.0;858.0;;;;;;;234.0;;;;66068.0
Elburg-G0230;35;0;3441;1461;1440;415;2108.0;133.0;;1173.0;;;79.0;;;9.0;;;;;;;;0.0;;;;3618.0
Elst-G0231;2;0;3409;2026;1103;613;49.0;249.0;;33.0;;;19.0;;;23.0;;;;;;;;0.0;;;;5381.0
