RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PSP/CPN/PPR;Politieke Partij Radikalen (PPR);RPF/GPV;Gereformeerd Politiek Verbond (GPV);Communistische Partij van Nederland;Groenen;Pacifistisch-Socialistische Partij (PSP);PSP/CPN;SP;SGP-GPV-RPF;NL;Centrumdemocraten;RPF/SGP;Reformatorische Politieke Federatie (RPF);FNP;Evangelische Volkspartij (EVP);SAP;FPGB;HP;Centrumpartij;@abs
Simpelveld-G0965;46;0;2786;2093;327;189;;;80.0;;;;;;40.0;26.0;7.0;1228.0;;;;;;;;;;1955.0
Sint Maarten-G0445;8;0;344;317;239;76;;;43.0;;;9.0;36.0;25.0;;0.0;9.0;;0.0;;;;;1.0;;;;352.0
Sint Odiliënberg-G0967;17;0;789;486;244;74;;;36.0;;;;;;27.0;0.0;5.0;54.0;;;;;;;;;;900.0
Sint Pancras-G0446;3;0;958;636;493;183;;;73.0;;;42.0;53.0;24.0;;0.0;72.0;;0.0;;;;;2.0;;;;1198.0
Sint Philipsland-G0712;5;0;270;251;104;48;633.0;;6.0;39.0;;;;;3.0;0.0;;;;;;;;;;;;301.0
Sint-Michielsgestel-G0845;26;0;2508;1833;721;374;;130.0;;;;;;;;61.0;36.0;;;;;;;9.0;;;;3034.0
Sint-Oedenrode-G0846;40;0;4520;2014;787;493;;220.0;;;;;;;;51.0;17.0;;;;;;;9.0;;;;3733.0
Sittard-G0968;123;0;8639;6224;1669;814;;;796.0;;;;;;393.0;61.0;73.0;2644.0;;;;;;;;;;12172.0
Skarsterlân-G0051;35;0;5025;4415;1376;484;;348.0;;;84.0;;;;;;;;;175.0;;927.0;;;;;;3782.0
Sleen-G0130;18;0;1002;2961;1054;180;;;84.0;;19.0;;;44.0;;11.0;;;;;99.0;;;;;;;1058.0
Sliedrecht-G0610;15;0;2527;4102;1172;488;2233.0;238.0;;511.0;;;45.0;;;14.0;;;44.0;;;;33.0;3.0;;;;5304.0
Slochteren-G0040;29;0;1391;3159;1346;431;;;122.0;;840.0;75.0;;125.0;;9.0;;;;133.0;;;;;31.0;;;2720.0
Sluis-G0713;1;0;472;479;439;86;16.0;;22.0;11.0;;;;;2.0;0.0;;;;;;;;;;;;592.0
Smallingerland-G0090;98;0;8785;11773;2587;1431;;1322.0;;;1145.0;;;;;;;;;921.0;;1067.0;;;;;;7784.0
Smilde-G0131;16;0;1986;1892;620;214;;;110.0;;142.0;;;48.0;;7.0;;;;;61.0;;;;;;;1388.0
Sneek-G0091;57;0;5229;6203;1839;848;;582.0;;;110.0;;;;;;;;;263.0;;723.0;;;;;;6104.0
Snelrewaard-G0341;0;0;274;22;59;21;45.0;;3.0;15.0;;;;;5.0;0.0;;;0.0;;;;;;;0.0;;167.0
Soest-G0342;82;0;7204;4169;5527;1874;259.0;;569.0;621.0;;;;;290.0;20.0;;;49.0;;;;;;;24.0;;9633.0
Someren-G0847;39;0;4960;1456;768;312;;170.0;;;;;;;;30.0;32.0;;;;;;;8.0;;;;4645.0
Son en Breugel-G0848;23;0;3225;1312;1873;570;;169.0;;;;;;;;22.0;54.0;;;;;;;3.0;;;;3400.0
Spijkenisse-G0612;91;0;4616;10676;3669;2532;317.0;813.0;;430.0;;;210.0;;;387.0;;;169.0;;;;38.0;35.0;;;;19894.0
Sprang-Capelle-G0849;22;0;1756;886;558;168;;96.0;;;;;;;;4.0;837.0;;;;;;;0.0;;;;2207.0
Stad Delden-G0179;11;0;2230;922;891;298;5.0;;81.0;;23.0;;;;53.0;;;;;;13.0;;;0.0;;;;1054.0
Stadskanaal-G0037;79;0;5999;8189;1386;665;;;237.0;;689.0;239.0;;137.0;;39.0;;;;942.0;;;;;49.0;;;6657.0
Standdaarbuiten-G0850;4;0;704;420;167;65;;28.0;;;;;;;;1.0;11.0;;;;;;;0.0;;;;616.0
Staphorst-G0180;39;0;1621;744;702;144;2711.0;;34.0;;690.0;;;;21.0;;;;;;704.0;;;0.0;;;;1284.0
Stede Broec-G0532;30;0;3151;2353;1186;626;;;212.0;;;165.0;84.0;123.0;;6.0;81.0;;0.0;;;;;2.0;;;;4693.0
Stedum-G0041;2;0;474;394;89;39;;;32.0;;79.0;22.0;;22.0;;3.0;;;;20.0;;;;;4.0;;;218.0
Steenbergen-G0851;31;0;2184;2342;1060;255;;99.0;;;;;;;;19.0;23.0;;;;;;;0.0;;;;4414.0
Steenderen-G0280;12;0;1572;621;360;102;12.0;57.0;;21.0;;;36.0;;;1.0;;;;;;;;0.0;;;;672.0
Steenwijk-G0181;45;0;3730;4545;1536;736;61.0;;362.0;;199.0;;;;155.0;;;;;;261.0;;;0.0;;;;3970.0
Stein-G0971;130;0;5472;4792;973;1014;;;310.0;;;;;;190.0;37.0;31.0;228.0;;;;;;;;;;6737.0
Stevensweert-G0972;8;0;380;201;74;31;;;13.0;;;;;;3.0;2.0;0.0;178.0;;;;;;;;;;345.0
Stramproy-G0973;14;0;1489;549;179;80;;;32.0;;;;;;17.0;2.0;1.0;68.0;;;;;;;;;;1131.0
Strijen-G0617;21;0;1173;1623;1011;223;267.0;111.0;;105.0;;;28.0;;;4.0;;;3.0;;;;11.0;2.0;;;;1725.0
Susteren-G0974;71;0;3454;2080;444;259;;;112.0;;;;;;83.0;10.0;15.0;179.0;;;;;;;;;;3062.0
Swalmen-G0975;29;0;1729;1527;308;109;;;44.0;;;;;;60.0;2.0;3.0;83.0;;;;;;;;;;2423.0
't Zandt-G0054;5;0;354;651;179;67;;;43.0;;41.0;14.0;;29.0;;4.0;;;;16.0;;;;;9.0;;;391.0
Tegelen-G0976;44;0;3850;2839;635;303;;;100.0;;;;;;53.0;10.0;18.0;552.0;;;;;;;;;;4826.0
Ten Boer-G0009;15;0;1152;1225;420;179;;;94.0;;488.0;54.0;;51.0;;6.0;;;;113.0;;;;;15.0;;;931.0
Ter Aar-G0480;15;0;2401;560;780;238;99.0;95.0;;45.0;;;22.0;;;10.0;;;9.0;;;;11.0;1.0;;;;1970.0
Terheijden-G0853;16;0;1798;1327;490;326;;146.0;;;;;;;;5.0;16.0;;;;;;;0.0;;;;1933.0
Termunten-G0042;16;0;537;1302;222;73;;;55.0;;16.0;157.0;;40.0;;2.0;;;;60.0;;;;;29.0;;;903.0
Terneuzen-G0715;74;0;5058;4673;2296;1021;1113.0;;351.0;980.0;;;;;237.0;0.0;;;;;;;;;;;;9795.0
Terschelling-G0093;14;0;512;980;992;97;;55.0;;;7.0;;;;;;;;;27.0;;33.0;;;;;;844.0
Teteringen-G0854;5;0;1586;629;551;222;;66.0;;;;;;;;1.0;16.0;;;;;;;1.0;;;;1104.0
Texel-G0448;22;0;2443;1844;1521;413;;;140.0;;;55.0;52.0;241.0;;6.0;150.0;;0.0;;;;;3.0;;;;2512.0
Tholen-G0716;55;0;2139;2812;1312;287;2841.0;;89.0;437.0;;;;;50.0;0.0;;;;;;;;;;;;3705.0
Thorn-G0977;13;0;739;474;110;49;;;38.0;;;;;;7.0;1.0;6.0;46.0;;;;;;;;;;548.0
Tiel-G0281;11;0;3399;5984;2099;819;138.0;504.0;;155.0;;;81.0;;;16.0;;;;;;;;0.0;;;;8367.0
Tietjerksteradeel-G0094;62;0;6590;5190;1842;900;;377.0;;;403.0;;;;;;;;;500.0;;833.0;;;;;;4646.0
Tilburg-G0855;184;0;22572;22354;7089;4135;;4853.0;;;;;;;;1493.0;299.0;;;;;;;0.0;;;;53338.0
Tubbergen-G0183;40;0;8596;1388;496;164;14.0;;72.0;;13.0;;;;37.0;;;;;;13.0;;;0.0;;;;2356.0
Ubbergen-G0282;13;0;2267;1483;673;257;7.0;320.0;;11.0;;;50.0;;;13.0;;;;;;;;0.0;;;;2210.0
Uden-G0856;50;0;7160;3500;2413;881;;319.0;;;;;;;;871.0;67.0;;;;;;;0.0;;;;9354.0
Udenhout-G0857;19;0;2326;868;498;205;;73.0;;;;;;;;14.0;8.0;;;;;;;0.0;;;;2185.0
Uitgeest-G0450;20;0;1541;1430;960;426;;;206.0;;;149.0;89.0;75.0;;0.0;26.0;;0.0;;;;;5.0;;;;2190.0
Uithoorn-G0451;50;0;3859;2468;2797;987;;;404.0;;;74.0;138.0;132.0;;5.0;97.0;;41.0;;;;;4.0;;;;5040.0
Ulrum-G0045;12;0;910;621;249;71;;;20.0;;230.0;10.0;;23.0;;0.0;;;;99.0;;;;;3.0;;;507.0
Urk-G0184;18;0;2226;40;39;16;;;4.0;;473.0;;;;0.0;;;;;2847.0;;;;;;;14.0;1233.0
Usquert-G0046;2;0;96;632;158;32;;;25.0;;29.0;16.0;;13.0;;4.0;;;;3.0;;;;;3.0;;;218.0
Utrecht-G0344;439;0;23977;39729;13978;9397;849.0;;5467.0;1431.0;;;;;8498.0;1260.0;;;869.0;;;;;;;133.0;;68474.0
Vaals-G0981;44;0;1499;1831;465;64;;;51.0;;;;;;48.0;6.0;14.0;462.0;;;;;;;;;;2135.0
Valburg-G0283;14;0;2602;1454;839;317;409.0;189.0;;98.0;;;34.0;;;9.0;;;;;;;;0.0;;;;2737.0
Valkenburg (ZH)-G0619;5;0;753;233;204;87;63.0;24.0;;165.0;;;11.0;;;0.0;;;3.0;;;;7.0;0.0;;;;680.0
Valkenburg aan de Geul-G0994;57;0;4617;2451;969;327;;;114.0;;;;;;110.0;10.0;17.0;808.0;;;;;;;;;;4262.0
Valkenisse-G0720;10;0;1326;555;737;211;240.0;;91.0;70.0;;;;;25.0;0.0;;;;;;;;;;;;1250.0
Valkenswaard-G0858;43;0;6200;3867;1762;748;;300.0;;;;;;;;151.0;59.0;;;;;;;22.0;;;;8662.0
Veendam-G0047;54;0;2447;8463;2158;798;;;254.0;;134.0;181.0;;154.0;;46.0;;;;255.0;;;;;188.0;;;5746.0
Veenendaal-G0345;10;0;7237;4238;2710;968;2650.0;;303.0;2336.0;;;;;304.0;12.0;;;35.0;;;;;;;10.0;;10021.0
Veere-G0717;8;0;1237;287;488;196;244.0;;120.0;222.0;;;;;18.0;1.0;;;;;;;;;;;;715.0
Veghel-G0860;51;0;6072;2939;1373;566;;270.0;;;;;;;;183.0;56.0;;;;;;;19.0;;;;6177.0
Veldhoven-G0861;40;0;7540;4162;2473;1123;;596.0;;;;;;;;117.0;140.0;;;;;;;20.0;;;;11144.0
Velsen-G0453;135;0;7833;10895;5171;2191;;;525.0;;;479.0;455.0;478.0;;25.0;653.0;;0.0;;;;;28.0;;;;15406.0
Venhuizen-G0454;12;0;1508;835;879;256;;;52.0;;;38.0;77.0;60.0;;0.0;19.0;;0.0;;;;;0.0;;;;1361.0
Venlo-G0983;46;0;12484;7579;3741;1284;;;609.0;;;;;;353.0;89.0;108.0;190.0;;;;;;;;;;20426.0
Venray-G0984;62;0;8274;3426;1477;618;;;263.0;;;;;;245.0;45.0;30.0;431.0;;;;;;;;;;9637.0
Vessem, Wintelre en Knegsel-G0862;7;0;1780;280;290;100;;69.0;;;;;;;;4.0;3.0;;;;;;;3.0;;;;984.0
Vianen-G0620;37;0;2869;2579;1403;612;507.0;267.0;;105.0;;;77.0;;;8.0;;;39.0;;;;21.0;8.0;;;;4247.0
Vierlingsbeek-G0863;21;0;2663;796;295;166;;105.0;;;;;;;;6.0;8.0;;;;;;;0.0;;;;1693.0
Vinkeveen en Waverveen-G0346;26;0;1945;705;1134;325;182.0;;66.0;119.0;;;;;39.0;4.0;;;8.0;;;;;;;6.0;;1927.0
Vlaardingen-G0622;150;0;8845;13290;4533;2564;1285.0;1299.0;;940.0;;;259.0;;;1625.0;;;182.0;;;;75.0;32.0;;;;22323.0
Vlagtwedde-G0048;52;0;2812;4402;1027;294;;;97.0;;51.0;102.0;;50.0;;12.0;;;;190.0;;;;;31.0;;;3640.0
Vledder-G0132;17;0;379;1025;440;135;;;37.0;;13.0;;;23.0;;1.0;;;;;9.0;;;;;;;677.0
Vleuten-De Meern-G0347;31;0;4271;1333;2141;611;112.0;;178.0;154.0;;;;;118.0;8.0;;;21.0;;;;;;;7.0;;2932.0
Vlieland-G0096;3;0;92;265;209;40;;13.0;;;6.0;;;;;;;;;3.0;;6.0;;;;;;155.0
Vlijmen-G0864;32;0;3334;1949;884;427;;163.0;;;;;;;;44.0;34.0;;;;;;;0.0;;;;4151.0
Vlissingen-G0718;108;0;5145;7569;3404;1577;743.0;;476.0;385.0;;;;;325.0;145.0;;;;;;;;;;;;13528.0
Vlist-G0623;19;0;1819;1287;1005;298;588.0;94.0;;118.0;;;48.0;;;3.0;;;7.0;;;;10.0;2.0;;;;1610.0
Vlodrop-G0985;8;0;549;311;216;27;;;14.0;;;;;;13.0;5.0;2.0;28.0;;;;;;;;;;525.0
Voerendaal-G0986;4;0;3204;1834;751;267;;;126.0;;;;;;73.0;24.0;23.0;697.0;;;;;;;;;;2997.0
Voorburg-G0624;83;0;6776;5443;6033;2299;186.0;748.0;;404.0;;;220.0;;;34.0;;;202.0;;;;29.0;7.0;;;;10110.0
Voorhout-G0625;27;0;2137;715;991;390;20.0;182.0;;38.0;;;43.0;;;2.0;;;8.0;;;;6.0;0.0;;;;1668.0
Voorschoten-G0626;9;0;3935;2250;3367;1315;121.0;360.0;;129.0;;;106.0;;;13.0;;;26.0;;;;28.0;1.0;;;;4523.0
Voorst-G0285;40;0;5384;3538;2270;697;272.0;266.0;;104.0;;;79.0;;;6.0;;;;;;;;0.0;;;;4801.0
Vorden-G0286;29;0;1890;1165;976;196;31.0;76.0;;52.0;;;43.0;;;7.0;;;;;;;;0.0;;;;1168.0
Vries-G0133;25;0;772;2280;1964;424;;;183.0;;94.0;;;42.0;;7.0;;;;;50.0;;;;;;;1374.0
Vriezenveen-G0186;29;0;4560;2936;690;278;554.0;;83.0;;60.0;;;;46.0;;;;;;624.0;;;0.0;;;;2976.0
Vught-G0865;17;0;4817;2907;1965;757;;403.0;;;;;;;;88.0;54.0;;;;;;;11.0;;;;6969.0
Vuren-G0287;11;0;1900;1666;805;266;300.0;87.0;;157.0;;;42.0;;;3.0;;;;;;;;0.0;;;;1993.0
Waalre-G0866;39;0;3282;1676;2074;748;;194.0;;;;;;;;14.0;26.0;;;;;;;11.0;;;;3283.0
Waalwijk-G0867;55;0;5118;3644;2278;653;;466.0;;;;;;;;79.0;176.0;;;;;;;0.0;;;;7977.0
Waddinxveen-G0627;22;0;3685;2871;2196;861;1223.0;255.0;;642.0;;;56.0;;;6.0;;;39.0;;;;28.0;4.0;;;;4902.0
Wageningen-G0289;37;0;4089;5736;2784;2184;435.0;2813.0;;341.0;;;301.0;;;92.0;;;;;;;;0.0;;;;7491.0
Wanroij-G0868;8;0;1965;444;176;100;;39.0;;;;;;;;3.0;7.0;;;;;;;0.0;;;;750.0
Warffum-G0049;6;0;332;699;208;78;;;29.0;;41.0;12.0;;15.0;;1.0;;;;16.0;;;;;5.0;;;305.0
Warmenhuizen-G0456;9;0;1014;471;413;110;;;36.0;;;23.0;46.0;38.0;;3.0;16.0;;0.0;;;;;1.0;;;;882.0
Warmond-G0628;7;0;1258;554;560;187;28.0;72.0;;12.0;;;32.0;;;5.0;;;4.0;;;;7.0;0.0;;;;1179.0
Warnsveld-G0291;16;0;1758;1681;1050;384;27.0;178.0;;72.0;;;53.0;;;5.0;;;;;;;;0.0;;;;1900.0
Waspik-G0869;5;0;1256;759;213;92;;37.0;;;;;;;;10.0;44.0;;;;;;;0.0;;;;1060.0
Wassenaar-G0629;12;0;4859;1815;5766;993;93.0;204.0;;109.0;;;92.0;;;6.0;;;39.0;;;;5.0;2.0;;;;5119.0
Wateringen-G0630;2;0;4031;1111;1313;388;14.0;160.0;;64.0;;;61.0;;;9.0;;;34.0;;;;11.0;1.0;;;;3819.0
Weerselo-G0188;19;0;4274;578;268;121;1.0;;23.0;;8.0;;;;16.0;;;;;;4.0;;;0.0;;;;978.0
Weert-G0988;139;0;7192;5255;2206;528;;;224.0;;;;;;144.0;42.0;56.0;1753.0;;;;;;;;;;12152.0
Weesp-G0457;54;0;2281;2963;1794;952;;;170.0;;;91.0;135.0;275.0;;13.0;203.0;;46.0;;;;;8.0;;;;4967.0
Wehl-G0292;9;0;1795;841;235;90;2.0;49.0;;3.0;;;27.0;;;0.0;;;;;;;;0.0;;;;1731.0
Werkendam-G0870;28;0;3769;2051;923;328;;186.0;;;;;;;;11.0;1695.0;;;;;;;0.0;;;;3793.0
Wervershoof-G0459;12;0;2276;577;360;169;;;61.0;;;20.0;58.0;42.0;;2.0;14.0;;0.0;;;;;0.0;;;;1657.0
Wessem-G0989;4;0;469;274;112;28;;;13.0;;;;;;13.0;1.0;3.0;33.0;;;;;;;;;;705.0
West Maas en Waal-G0668;49;0;4357;2232;869;284;19.0;164.0;;14.0;;;69.0;;;15.0;;;;;;;;0.0;;;;4573.0
Westerbork-G0134;13;0;1074;1978;1081;249;;;116.0;;48.0;;;45.0;;3.0;;;;;98.0;;;;;;;936.0
Westerhoven-G0871;2;0;605;259;77;27;;21.0;;;;;;;;1.0;0.0;;;;;;;2.0;;;;256.0
Wester-Koggenland-G0558;35;0;3104;1429;1294;330;;;84.0;;;67.0;90.0;77.0;;3.0;31.0;;0.0;;;;;6.0;;;;2478.0
Westerschouwen-G0725;11;0;842;864;989;170;152.0;;56.0;87.0;;;;;19.0;0.0;;;;;;;;;;;;994.0
Westervoort-G0293;20;0;1952;2306;777;515;7.0;324.0;;81.0;;;56.0;;;8.0;;;;;;;;0.0;;;;3959.0
Westkapelle-G0726;7;0;454;530;247;62;237.0;;12.0;45.0;;;;;20.0;1.0;;;;;;;;;;;;405.0
Weststellingwerf-G0098;72;0;3629;6600;2073;671;;389.0;;;64.0;;;;;;;;;183.0;;150.0;;;;;;4641.0
Westvoorne-G0614;37;0;1628;2240;2324;531;62.0;168.0;;63.0;;;48.0;;;3.0;;;21.0;;;;11.0;1.0;;;;3059.0
Wierden-G0189;37;0;7788;2013;1205;495;596.0;;205.0;;57.0;;;;39.0;;;;;;576.0;;;0.0;;;;2542.0
Wieringen-G0462;20;0;717;1818;1132;216;;;72.0;;;128.0;23.0;45.0;;0.0;35.0;;0.0;;;;;3.0;;;;1892.0
Wieringermeer-G0463;14;0;2401;1703;1190;367;;;171.0;;;58.0;42.0;42.0;;0.0;194.0;;0.0;;;;;4.0;;;;2245.0
Wijchen-G0296;29;0;6349;4459;1385;810;20.0;452.0;;32.0;;;73.0;;;92.0;;;;;;;;0.0;;;;9069.0
Wijdewormer-G0470;1;0;264;181;185;64;;;9.0;;;5.0;18.0;18.0;;1.0;7.0;;0.0;;;;;0.0;;;;244.0
Wijhe-G0190;18;0;2040;1316;490;179;23.0;;47.0;;29.0;;;;50.0;;;;;;46.0;;;1.0;;;;1024.0
Wijk bij Duurstede-G0352;22;0;1970;1895;1305;723;34.0;;322.0;123.0;;;;;165.0;12.0;;;9.0;;;;;;;6.0;;3268.0
Willemstad-G0872;9;0;707;548;301;99;;45.0;;;;;;;;3.0;59.0;;;;;;;0.0;;;;629.0
Willeskop-G0349;1;0;325;55;70;13;74.0;;10.0;5.0;;;;;6.0;0.0;;;1.0;;;;;;;0.0;;175.0
Wilnis-G0350;9;0;1482;305;642;205;122.0;;68.0;141.0;;;;;38.0;0.0;;;5.0;;;;;;;2.0;;1181.0
Winschoten-G0052;80;0;1769;6601;1329;579;;;201.0;;121.0;575.0;;94.0;;25.0;;;;236.0;;;;;69.0;;;3987.0
Winsum-G0053;9;0;1161;1234;407;220;;;195.0;;195.0;18.0;;99.0;;3.0;;;;38.0;;;;;7.0;;;758.0
Winterswijk-G0294;86;0;4117;6474;3329;944;36.0;414.0;;165.0;;;180.0;;;31.0;;;;;;;;0.0;;;;5293.0
Wisch-G0295;63;0;4333;3046;1543;507;31.0;235.0;;89.0;;;107.0;;;9.0;;;;;;;;0.0;;;;4812.0
Wissenkerke-G0727;2;0;758;476;292;66;135.0;;28.0;63.0;;;;;10.0;0.0;;;;;;;;;;;;568.0
Wittem-G0990;39;0;2151;1222;298;111;;;52.0;;;;;;60.0;1.0;10.0;542.0;;;;;;;;;;1240.0
Woensdrecht-G0873;29;0;1590;1405;719;282;;105.0;;;;;;;;25.0;35.0;;;;;;;0.0;;;;3138.0
Woerden-G0632;44;0;5592;2824;2399;979;554.0;473.0;;297.0;;;87.0;;;144.0;;;46.0;;;;43.0;5.0;;;;6145.0
Wognum-G0466;14;0;1924;614;562;237;;;34.0;;;15.0;60.0;51.0;;0.0;13.0;;0.0;;;;;2.0;;;;1664.0
Wonseradeel-G0099;18;0;2919;2030;748;204;;189.0;;;91.0;;;;;;;;;91.0;;355.0;;;;;;1528.0
Wormer-G0467;29;0;1462;2143;824;435;;;164.0;;;382.0;162.0;205.0;;4.0;128.0;;16.0;;;;;1.0;;;;2356.0
Woubrugge-G0633;3;0;1201;460;439;220;44.0;69.0;;30.0;;;21.0;;;1.0;;;0.0;;;;48.0;0.0;;;;973.0
Woudenberg-G0351;20;0;2041;850;864;265;675.0;;87.0;369.0;;;;;64.0;6.0;;;6.0;;;;;;;4.0;;1473.0
Woudrichem-G0874;24;0;2948;1745;716;247;;122.0;;;;;;;;13.0;1004.0;;;;;;;0.0;;;;2611.0
Wouw-G0875;19;0;1953;1067;542;170;;57.0;;;;;;;;1.0;9.0;;;;;;;0.0;;;;2471.0
Wymbritseradiel-G0683;15;0;4315;1583;777;264;;192.0;;;53.0;;;;;;;;;158.0;;828.0;;;;;;2058.0
Zaanstad-G0479;194;0;11861;25963;8802;4602;;;1527.0;;;3145.0;1095.0;1674.0;;67.0;1218.0;;373.0;;;;;55.0;;;;33199.0
Zaltbommel-G0297;18;0;1134;1733;704;353;119.0;182.0;;96.0;;;61.0;;;9.0;;;;;;;;0.0;;;;2205.0
Zandvoort-G0473;37;0;1599;2307;2858;593;;;100.0;;;91.0;122.0;59.0;;1.0;49.0;;24.0;;;;;1.0;;;;4834.0
Zederik-G0707;32;0;3003;1623;848;236;1146.0;83.0;;400.0;;;21.0;;;2.0;;;8.0;;;;11.0;0.0;;;;1666.0
Zeeland-G0877;14;0;1928;498;214;92;;59.0;;;;;;;;36.0;10.0;;;;;;;0.0;;;;1254.0
Zeevang-G0478;15;0;517;972;920;226;;;71.0;;;37.0;47.0;66.0;;0.0;15.0;;0.0;;;;;1.0;;;;1226.0
Zeewolde-G0050;1;0;665;304;506;142;;;38.0;;42.0;;;;10.0;1.0;;;;108.0;;;;;;;9.0;569.0
Zegveld-G0354;5;0;611;71;122;52;135.0;;15.0;132.0;;;;;3.0;0.0;;;3.0;;;;;;;0.0;;272.0
Zeist-G0355;148;0;8454;7663;7399;2768;1167.0;;917.0;1137.0;;;;;622.0;76.0;;;98.0;;;;;;;35.0;;14733.0
Zelhem-G0298;13;0;2325;1997;936;246;142.0;124.0;;105.0;;;40.0;;;2.0;;;;;;;;0.0;;;;2509.0
Zevenaar-G0299;46;0;5116;3875;1896;1017;21.0;353.0;;97.0;;;142.0;;;20.0;;;;;;;;0.0;;;;6411.0
Zevenbergen-G0878;23;0;2963;2367;1038;380;;140.0;;;;;;;;16.0;145.0;;;;;;;0.0;;;;4141.0
Zevenhoven-G0635;4;0;755;192;237;67;34.0;23.0;;43.0;;;13.0;;;0.0;;;3.0;;;;1.0;0.0;;;;513.0
Zevenhuizen-G0636;11;0;989;971;767;194;254.0;47.0;;83.0;;;27.0;;;2.0;;;9.0;;;;7.0;3.0;;;;1182.0
Zierikzee-G0732;20;0;1555;1980;912;281;240.0;;93.0;225.0;;;;;75.0;0.0;;;;;;;;;;;;1937.0
Zijpe-G0476;13;0;1415;1372;1103;227;;;75.0;;;35.0;70.0;72.0;;1.0;21.0;;0.0;;;;;5.0;;;;1802.0
Zoetermeer-G0637;142;0;9015;12036;7351;4453;950.0;1166.0;;874.0;;;292.0;;;923.0;;;229.0;;;;76.0;43.0;;;;22944.0
Zoeterwoude-G0638;5;0;1957;689;723;338;34.0;148.0;;23.0;;;53.0;;;0.0;;;7.0;;;;8.0;3.0;;;;1933.0
Zuidhorn-G0056;12;0;1209;1053;600;303;;;139.0;;895.0;21.0;;24.0;;3.0;;;;53.0;;;;;21.0;;;858.0
Zuidlaren-G0136;24;0;1289;2084;1560;412;;;149.0;;328.0;;;70.0;;16.0;;;;;91.0;;;;;;;1905.0
Zuidwolde-G0137;21;0;1957;1403;1163;395;;;78.0;;174.0;;;33.0;;7.0;;;;;70.0;;;;;;;1615.0
Zundert-G0879;52;0;3255;1372;696;214;;114.0;;;;;;;;11.0;8.0;;;;;;;7.0;;;;4241.0
Zutphen-G0301;60;0;3420;7387;2409;1295;82.0;913.0;;259.0;;;246.0;;;43.0;;;;;;;;0.0;;;;6862.0
Zwartsluis-G0192;13;0;1116;679;256;90;103.0;;31.0;;124.0;;;;16.0;;;;;;123.0;;;0.0;;;;650.0
Zweeloo-G0138;6;0;379;695;525;95;;;29.0;;16.0;;;20.0;;2.0;;;;;37.0;;;;;;;283.0
Zwijndrecht-G0642;91;0;6102;6296;3012;1478;926.0;718.0;;1004.0;;;86.0;;;13.0;;;89.0;;;;41.0;5.0;;;;10309.0
Zwolle-G0193;53;0;13614;15437;6100;3441;462.0;;1418.0;;1815.0;;;;1243.0;;;;;;1259.0;;;0.0;;;;21938.0
