RegioNaam;@invalid;@blank;PvdA;VVD;CDA;D66;GL;SP;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;DG;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief;@abs
Eemsmond-G1651;;24;3613;1412;2241;496;518;334;138;20;980;47.0;49;44.0;39;29;22;12;8.0;2;;10.0;2;;2388.0
Eersel-G0770;;6;2661;2400;3381;842;634;279;34;5;17;40.0;31;64.0;38;30;18;25;23.0;3;14.0;;3;4.0;2860.0
Egmond-G0357;;13;1980;2203;1157;654;416;154;23;7;13;45.0;19;63.0;25;25;12;8;10.0;2;;1.0;3;3.0;2046.0
Eibergen-G0229;;6;3056;1729;3685;558;529;246;46;6;30;41.0;30;19.0;17;35;10;17;10.0;3;5.0;4.0;1;2.0;2380.0
Eijsden-G0905;;3;1937;1480;1987;492;448;150;10;1;3;29.0;45;19.0;26;17;4;21;19.0;3;7.0;0.0;0;1.0;2275.0
Eindhoven-G0772;;144;30197;23943;16698;10874;9328;6153;681;114;501;733.0;1045;414.0;777;233;183;358;160.0;168;421.0;;30;28.0;49672.0
Elburg-G0230;;0;2008;2327;2825;458;330;157;2049;1935;314;62.0;27;60.0;15;30;9;15;1.0;9;14.0;1.0;0;0.0;3292.0
Elst-G0231;;8;2889;2376;1898;1155;541;225;59;24;50;35.0;19;26.0;20;23;11;9;6.0;0;6.0;2.0;2;0.0;3226.0
Emmen-G0114;;73;24119;8501;11501;3825;3123;2677;1089;79;643;;325;202.0;234;108;73;103;52.0;21;;75.0;18;21.0;24847.0
Enkhuizen-G0388;;15;2998;2285;1297;926;885;336;215;133;59;39.0;52;73.0;45;18;12;17;1.0;3;;0.0;3;5.0;3000.0
Enschede-G0153;;119;28504;16247;11777;6663;6075;3106;1062;113;2303;504.0;730;265.0;264;109;114;140;51.0;67;;143.0;20;12.0;33410.0
Epe-G0232;;18;5972;5357;4005;1420;849;311;770;655;160;103.0;53;67.0;45;50;13;33;9.0;19;17.0;2.0;4;2.0;5963.0
Ermelo-G0233;;12;2292;3797;4489;1069;862;390;1220;744;641;46.0;45;83.0;38;92;21;28;5.0;12;9.0;2.0;2;1.0;4094.0
Etten-Leur-G0777;;16;5740;4844;3330;1618;1225;687;118;6;39;114.0;68;89.0;79;39;20;13;12.0;15;27.0;3.0;1;1.0;8607.0
Ferwerderadeel-G0068;;7;1212;681;2140;263;250;146;97;13;214;17.0;7;;8;22;2;4;;3;;0.0;0;;1437.0
Franekeradeel-G0070;;41;3840;1871;3441;698;731;366;274;18;176;36.0;37;;17;47;5;22;;3;;7.0;5;;3597.0
Gaasterlân-Sleat-G0653;;8;1346;1057;2290;397;328;104;143;139;45;14.0;10;;14;24;13;12;;2;;2.0;0;;1365.0
Geertruidenberg-G0779;;7;3805;2822;2081;800;682;398;40;43;27;78.0;68;52.0;56;37;14;12;5.0;16;25.0;7.0;6;3.0;5176.0
Geldermalsen-G0236;;28;3747;3992;2445;1026;568;316;213;1177;111;;29;120.0;22;88;9;12;5.0;1;;6.0;1;1.0;3830.0
Geldrop-G0781;;17;4382;3602;2888;1419;1148;700;107;11;42;103.0;106;68.0;69;39;31;53;16.0;20;32.0;;3;7.0;6028.0
Geleen-G0906;;25;5385;3302;3542;1197;1989;717;42;5;23;173.0;225;42.0;69;36;32;74;26.0;43;22.0;3.0;6;6.0;9027.0
Gemert-Bakel-G1652;;21;4235;2906;4728;788;949;644;13;2;15;103.0;57;80.0;77;53;16;30;25.0;25;46.0;;5;2.0;5557.0
Gendringen-G0237;;23;3893;2012;3905;601;612;226;52;10;17;62.0;30;35.0;24;20;8;9;18.0;2;12.0;4.0;3;0.0;3959.0
Gendt-G0238;;10;1537;827;1035;278;185;80;2;3;5;15.0;8;29.0;2;9;5;3;4.0;0;3.0;1.0;1;0.0;1511.0
Genemuiden-G0154;;5;738;464;867;70;80;36;873;1611;84;10.0;9;20.0;10;15;1;1;0.0;0;;0.0;1;0.0;960.0
Gennep-G0907;;14;2695;1768;2190;848;479;313;20;4;11;48.0;30;30.0;22;22;19;10;7.0;4;11.0;4.0;1;0.0;4188.0
Giessenlanden-G0689;;18;2359;2283;1815;555;302;144;942;427;59;45.0;22;59.0;12;30;8;10;3.0;4;7.0;3.0;0;0.0;1526.0
Gilze en Rijen-G0784;;25;4052;3404;2736;1006;763;532;18;15;14;119.0;53;69.0;54;46;17;18;12.0;13;16.0;4.0;2;0.0;4870.0
Goedereede-G0511;;14;1335;1484;1121;287;144;94;487;1901;68;21.0;18;67.0;10;14;13;4;0.0;0;2.0;2.0;1;0.0;1397.0
Goes-G0664;;11;5360;4108;3543;1601;1334;536;595;1338;327;68.0;79;175.0;69;31;29;36;24.0;20;13.0;8.0;8;;7581.0
Goirle-G0785;;11;3761;2989;2507;1110;889;588;21;4;10;58.0;36;39.0;45;34;13;20;13.0;4;21.0;5.0;0;2.0;4404.0
Goor-G0156;;10;2586;1700;1606;612;296;398;74;5;32;26.0;32;42.0;22;20;9;9;1.0;4;;3.0;3;3.0;2023.0
Gorinchem-G0512;;16;5647;4136;2167;1555;1149;502;691;361;180;108.0;194;72.0;47;22;43;22;4.0;7;14.0;7.0;4;2.0;6847.0
Gorssel-G0239;;4;2346;2910;1939;930;410;139;62;11;46;18.0;23;29.0;16;34;13;12;1.0;2;5.0;3.0;1;0.0;1698.0
Gouda-G0513;;53;10882;10076;4984;4385;3051;1387;1319;1234;574;397.0;186;147.0;189;80;42;62;20.0;23;;16.0;10;8.0;12385.0
Graafstroom-G0693;;11;912;926;1584;209;141;41;815;981;61;23.0;5;18.0;2;11;8;7;0.0;1;2.0;0.0;0;0.0;898.0
Graft-De Rijp-G0365;;9;1058;1330;650;380;246;78;8;2;5;22.0;25;47.0;14;28;5;9;5.0;1;;1.0;0;0.0;794.0
Gramsbergen-G0157;;12;1337;497;1588;145;125;57;78;9;168;13.0;11;10.0;7;26;4;2;2.0;0;;0.0;0;1.0;692.0
Grave-G0786;;6;2027;1861;1529;583;435;451;18;0;14;41.0;33;47.0;17;17;8;8;3.0;4;9.0;;4;1.0;2403.0
Groenlo-G0240;;4;1747;1075;1826;264;283;86;7;1;7;13.0;18;15.0;12;7;7;6;12.0;1;1.0;1.0;0;2.0;1651.0
Groesbeek-G0241;;24;4266;2113;2467;727;820;394;37;6;12;;40;40.0;35;24;20;11;15.0;5;;9.0;2;7.0;3881.0
Groningen-G0014;;116;35852;16703;9344;13297;13101;5912;1070;109;3772;279.0;459;227.0;352;115;338;202;48.0;69;;211.0;41;;37649.0
Grootegast-G0015;;2;1522;772;2710;280;229;102;247;41;579;21.0;14;37.0;8;35;5;4;0.0;2;;1.0;2;;1987.0
Grubbenvorst-G0912;;3;862;1088;1128;270;157;80;7;4;2;23.0;15;6.0;13;8;8;12;4.0;0;8.0;2.0;1;0.0;1393.0
Gulpen-G0913;;32;1330;773;1477;271;356;178;1;3;13;42.0;38;28.0;19;8;9;31;20.0;0;10.0;1.0;1;2.0;1371.0
Haaksbergen-G0158;;21;3744;3184;4916;991;614;326;56;6;40;90.0;72;35.0;39;25;17;17;19.0;15;;5.0;6;3.0;3845.0
Haaren-G0788;;11;2007;1782;2483;644;452;144;10;5;11;26.0;26;39.0;36;42;12;12;7.0;2;9.0;;1;3.0;2751.0
Haarlem-G0392;;112;25550;20526;9929;9567;8436;2530;843;148;444;493.0;418;457.0;552;227;334;149;109.0;82;;55.0;27;61.0;33691.0
Haarlemmerliede en Spaarnwoude-G0393;;1;682;1050;641;337;254;56;23;8;15;22.0;23;14.0;11;18;10;2;6.0;0;;2.0;1;0.0;738.0
Haarlemmermeer-G0394;;54;13291;22898;9135;5978;3977;1053;1049;489;514;288.0;256;690.0;352;296;66;97;44.0;60;;21.0;8;19.0;19511.0
Haelen-G0914;;14;1376;1475;1296;466;363;108;14;4;6;61.0;41;24.0;30;16;13;31;16.0;1;7.0;0.0;0;1.0;2207.0
Halderberge-G1655;;46;4783;4260;3237;1112;815;483;56;11;26;259.0;58;109.0;68;52;13;18;21.0;7;36.0;5.0;3;1.0;6988.0
Hardenberg-G0160;;52;5467;2504;7282;777;761;292;400;79;3526;67.0;70;81.0;41;60;9;9;9.0;2;;3.0;1;3.0;3842.0
Harderwijk-G0243;;18;4001;5367;5515;1510;1070;366;1473;650;615;85.0;42;102.0;35;72;23;28;3.0;17;12.0;9.0;12;5.0;7057.0
Hardinxveld-Giessendam-G0523;;12;2404;1710;1598;331;265;132;1405;1957;592;48.0;20;63.0;18;19;6;5;1.0;1;5.0;0.0;0;2.0;2257.0
Haren-G0017;;11;3173;3495;2117;1744;894;163;133;36;533;20.0;62;38.0;61;25;31;11;9.0;5;;3.0;2;;2045.0
Harenkarspel-G0395;;15;2121;2529;1784;901;621;185;40;3;51;34.0;35;63.0;44;37;18;17;8.0;2;;4.0;4;0.0;2356.0
Harlingen-G0072;;21;3355;1679;1550;661;709;345;124;10;228;64.0;26;;42;30;14;18;;1;;5.0;4;;2708.0
Harmelen-G0318;;5;906;1442;1104;483;257;68;101;95;24;26.0;15;35.0;16;20;8;6;7.0;5;2.0;2.0;2;1.0;1352.0
Hasselt-G0161;;4;1068;639;1054;151;137;41;487;189;606;5.0;10;14.0;6;12;8;1;1.0;0;;1.0;2;0.0;829.0
Hattem-G0244;;2;2096;1371;1739;456;239;92;425;61;846;20.0;25;22.0;13;12;9;0;3.0;3;1.0;1.0;3;0.0;1472.0
Hedel-G0245;;5;647;672;516;218;98;84;58;210;30;;5;13.0;5;15;4;1;1.0;2;;0.0;0;0.0;668.0
Heel-G1937;;7;1252;1155;1027;377;244;91;5;2;2;20.0;27;20.0;27;9;1;18;2.0;0;4.0;3.0;0;3.0;2103.0
Heemskerk-G0396;;15;5893;5060;3463;1743;1642;546;129;21;89;94.0;143;260.0;107;37;20;33;35.0;36;;14.0;3;6.0;6599.0
Heemstede-G0397;;6;3068;6376;2865;2224;1094;205;125;21;67;40.0;40;50.0;60;38;33;28;20.0;6;;1.0;1;7.0;3560.0
Heerde-G0246;;23;3143;1883;3109;565;323;138;1169;389;345;90.0;27;50.0;14;29;9;8;2.0;1;5.0;0.0;3;1.0;2584.0
Heerenveen-G0074;;0;9201;4535;3878;1914;1889;668;377;34;321;100.0;55;;75;63;22;54;;10;;38.0;3;;7536.0
Heerewaarden-G0247;;2;351;251;72;41;39;33;3;2;0;;6;5.0;9;5;0;2;0.0;0;;1.0;0;0.0;206.0
Heerhugowaard-G0398;;32;6387;6988;3827;2481;1657;564;255;9;74;70.0;116;201.0;75;41;39;60;26.0;7;;10.0;11;2.0;7803.0
Heerjansdam-G0526;;6;625;638;404;194;116;50;44;50;12;16.0;4;19.0;6;10;2;3;0.0;0;0.0;0.0;1;1.0;567.0
Heerlen-G0917;;58;13555;7840;7976;3220;3199;7357;192;29;109;439.0;488;186.0;390;77;77;187;180.0;47;65.0;20.0;11;15.0;27120.0
Heeze-Leende-G1658;;24;2173;2421;2659;845;541;191;11;4;14;58.0;99;34.0;35;50;3;11;8.0;2;26.0;;0;0.0;2486.0
Heiloo-G0399;;20;3370;4761;2446;1730;940;210;83;5;52;38.0;43;63.0;47;50;20;18;8.0;2;;16.0;1;2.0;2875.0
Heino-G0162;;8;1242;859;1685;370;253;68;93;1;144;13.0;10;18.0;10;26;7;2;1.0;0;;0.0;0;1.0;1105.0
Helden-G0918;;17;2397;2359;3196;552;572;229;11;9;8;112.0;50;39.0;68;28;10;16;8.0;2;8.0;2.0;3;3.0;4507.0
Hellendoorn-G0163;;19;5538;3163;9356;981;861;420;771;83;470;80.0;80;140.0;48;60;11;20;13.0;10;;4.0;4;1.0;4933.0
Hellevoetsluis-G0530;;20;5873;6563;1435;1759;1333;692;211;75;80;116.0;133;199.0;87;61;29;42;7.0;14;29.0;10.0;3;1.0;8589.0
Helmond-G0794;;59;11894;9134;6323;2716;2465;2857;129;23;65;425.0;250;149.0;233;88;44;43;58.0;52;73.0;;13;7.0;20046.0
Hendrik-Ido-Ambacht-G0531;;16;2823;3248;1888;888;439;196;551;1576;197;52.0;38;63.0;31;20;9;11;6.0;9;10.0;1.0;3;10.0;3195.0
Hengelo-G0164;;60;14625;9499;9660;3966;3386;2275;567;43;533;196.0;445;168.0;148;81;54;103;45.0;104;;14.0;14;6.0;13596.0
Hengelo-G0248;;12;1562;1191;1777;239;161;78;32;6;8;27.0;18;12.0;10;35;6;6;7.0;0;1.0;1.0;0;1.0;1328.0
Het Bildt-G0063;;6;1898;886;1947;319;330;170;97;7;58;23.0;18;;16;16;8;6;;4;;4.0;1;;1850.0
Heteren-G0251;;8;1434;1079;1316;403;259;95;121;132;35;39.0;19;31.0;7;12;3;5;3.0;1;7.0;4.0;0;0.0;1482.0
Heumen-G0252;;6;2483;2409;2155;1074;643;201;23;3;10;;22;14.0;43;18;31;9;12.0;1;;2.0;2;3.0;2302.0
Heusden-G0797;;5;6706;6084;5010;1996;1284;1060;105;65;50;213.0;150;110.0;145;81;41;36;29.0;16;77.0;;7;9.0;7660.0
Heythuysen-G0920;;3;1474;1619;2338;475;365;147;23;2;6;48.0;46;24.0;34;23;5;23;14.0;1;15.0;3.0;4;4.0;2322.0
Hillegom-G0534;;7;2990;3901;2432;992;684;240;117;68;41;48.0;50;102.0;71;58;18;15;12.0;7;;3.0;1;5.0;3549.0
Hilvarenbeek-G0798;;10;2327;1914;2781;640;480;206;13;2;7;32.0;32;27.0;37;32;9;6;10.0;4;23.0;9.0;1;2.0;2280.0
Hilversum-G0402;;68;13104;13629;6186;5666;4105;1434;856;310;486;261.0;199;224.0;186;141;92;88;51.0;29;;23.0;23;9.0;16905.0
Hoevelaken-G0253;;7;1010;1612;831;483;222;62;192;392;133;18.0;8;27.0;20;21;3;3;3.0;4;7.0;0.0;2;0.0;1185.0
Holten-G0165;;3;1748;1675;1737;441;167;65;95;7;19;11.0;9;22.0;10;27;8;8;1.0;6;;2.0;3;0.0;875.0
Hontenisse-G0675;;3;1573;987;1172;234;270;120;30;7;6;33.0;14;19.0;27;13;8;3;6.0;1;1.0;2.0;1;;1573.0
Hoogeveen-G0118;;27;9329;4581;8602;1657;1326;756;1527;294;1036;;109;202.0;65;97;37;25;9.0;11;;19.0;5;8.0;10271.0
Hoogezand-Sappemeer-G0018;;38;7989;3124;1946;1361;1250;994;218;29;508;80.0;162;68.0;62;33;28;29;11.0;23;;34.0;11;;7289.0
Hoorn-G0405;;48;10415;9708;4033;3742;3295;1203;364;23;65;160.0;244;335.0;224;66;54;72;34.0;26;;42.0;8;9.0;12472.0
Horst-G0923;;14;2629;1799;3574;589;471;696;17;7;11;44.0;26;26.0;25;38;13;17;23.0;0;11.0;4.0;6;5.0;4514.0
Houten-G0321;;17;4085;4747;3035;2191;1408;344;512;443;316;47.0;51;141.0;54;30;21;19;24.0;17;8.0;7.0;5;1.0;4111.0
Huissen-G0255;;6;2753;2341;1879;928;464;189;45;4;23;15.0;37;33.0;40;21;12;14;8.0;0;4.0;0.0;3;0.0;2977.0
Huizen-G0406;;30;5146;7323;3806;2576;1546;381;1357;531;330;93.0;109;116.0;80;67;36;50;6.0;28;;11.0;2;13.0;7183.0
Hulst-G0677;;15;3384;2308;1849;700;485;226;49;6;9;103.0;67;40.0;35;27;15;15;17.0;4;5.0;5.0;4;;4405.0
Hummelo en Keppel-G0256;;2;872;900;720;255;107;61;17;10;7;7.0;3;9.0;2;17;1;7;2.0;3;6.0;0.0;1;0.0;577.0
Hunsel-G0925;;7;858;679;1095;165;172;64;1;1;2;30.0;28;10.0;12;7;5;5;8.0;0;6.0;0.0;1;0.0;1277.0
IJsselham-G0195;;9;1010;823;997;188;114;74;127;11;64;12.0;15;24.0;6;13;8;15;3.0;2;;2.0;1;0.0;738.0
IJsselmuiden-G0191;;20;1128;930;2601;238;192;100;1445;1580;263;17.0;13;26.0;8;19;6;3;8.0;5;;1.0;1;2.0;1300.0
IJsselstein-G0353;;16;3660;4244;2262;1499;925;359;258;296;55;81.0;26;78.0;46;28;22;15;10.0;15;16.0;4.0;1;2.0;4615.0
Jacobswoude-G0645;;17;1225;2095;1679;639;346;117;96;96;26;43.0;28;50.0;22;43;15;12;6.0;1;;0.0;5;0.0;1578.0
Kampen-G0166;;32;4918;2602;4653;873;1216;531;1758;900;904;95.0;45;70.0;60;33;30;12;11.0;11;;2.0;4;0.0;5319.0
Kapelle-G0678;;2;1514;1560;1433;418;271;93;281;598;102;20.0;20;26.0;11;17;0;7;0.0;0;6.0;0.0;1;;1733.0
Katwijk-G0537;;24;3824;4265;5837;901;837;433;2155;3099;338;85.0;75;98.0;72;39;12;20;6.0;8;;2.0;1;2.0;7262.0
Kerkrade-G0928;;100;9106;3481;4443;1054;1634;1579;24;14;27;335.0;226;91.0;120;51;57;90;77.0;25;78.0;15.0;4;10.0;14018.0
Kerkwijk-G0257;;5;640;749;708;179;95;57;488;928;33;;10;16.0;4;15;5;8;0.0;0;;2.0;2;0.0;915.0
Kessel-G0929;;9;653;684;773;126;108;53;0;4;0;34.0;22;10.0;6;12;0;5;2.0;0;5.0;0.0;0;0.0;708.0
Kesteren-G0258;;5;1505;866;654;184;149;66;213;1992;41;;6;23.0;13;21;5;4;0.0;2;;1.0;0;0.0;1345.0
Kollumerland en Nieuwkruisland-G0079;;20;1716;846;2988;259;394;256;355;102;171;37.0;15;;11;27;3;7;;4;;3.0;1;;2290.0
Korendijk-G0588;;2;1522;1623;876;372;224;86;246;1038;54;33.0;22;54.0;21;25;8;8;0.0;2;6.0;2.0;0;2.0;1605.0
Krimpen aan den IJssel-G0542;;12;4769;4496;1877;1450;677;290;630;2145;417;91.0;44;89.0;58;38;20;27;7.0;11;;3.0;1;5.0;4258.0
Laarbeek-G1659;;30;3894;2680;3238;753;870;464;12;6;7;103.0;58;44.0;53;28;7;22;24.0;8;26.0;;5;4.0;3939.0
Landerd-G1685;;28;2324;1818;2612;419;342;603;2;1;5;41.0;30;47.0;25;29;12;3;12.0;1;11.0;;0;0.0;2363.0
Landgraaf-G0882;;15;6861;3924;4046;1351;1476;1772;34;13;58;196.0;123;69.0;121;29;29;132;48.0;15;28.0;9.0;3;7.0;10652.0
Landsmeer-G0415;;7;2011;2220;530;704;493;202;53;15;23;36.0;28;65.0;21;31;17;4;2.0;2;;6.0;2;2.0;1539.0
Langedijk-G0416;;12;3334;4116;2709;1331;1001;325;222;20;157;62.0;36;95.0;41;30;21;24;4.0;3;;1.0;2;3.0;3558.0
Laren-G0417;;1;1332;3152;1166;839;392;145;25;11;10;18.0;21;20.0;25;54;11;17;19.0;3;;1.0;1;3.0;1756.0
Leek-G0022;;10;3552;1855;2321;861;608;193;199;29;825;34.0;87;51.0;19;26;8;11;5.0;4;;7.0;3;;3187.0
Leerdam-G0545;;20;3131;2569;2005;632;436;366;691;812;223;76.0;24;80.0;25;29;5;5;2.0;12;8.0;4.0;6;0.0;3713.0
Leersum-G0326;;5;1021;1570;755;436;269;78;103;249;41;20.0;11;38.0;19;13;9;4;1.0;0;1.0;0.0;1;0.0;826.0
Leeuwarden-G0080;;63;19293;8125;8151;4862;5092;2678;796;87;722;181.0;125;;173;92;98;109;;33;;34.0;23;;18625.0
Leeuwarderadeel-G0081;;15;2269;1063;1620;462;388;161;121;6;64;14.0;14;;8;20;3;16;;3;;1.0;2;;1232.0
Leiden-G0546;;124;19926;16545;5957;9774;8224;3602;701;205;443;382.0;163;175.0;176;97;195;200;45.0;46;;42.0;20;9.0;22541.0
Leiderdorp-G0547;;11;3456;4669;2198;1845;1098;317;167;144;94;55.0;84;82.0;47;36;23;28;9.0;10;;1.0;2;2.0;3770.0
Leidschendam-G0548;;22;4378;6696;3903;2152;1230;882;168;41;104;125.0;72;172.0;103;45;18;33;32.0;40;;5.0;2;4.0;5780.0
Lelystad-G0995;;45;9286;7984;3065;2930;2426;1202;521;164;321;248.0;439;327.0;226;118;70;371;23.0;33;;34.0;12;;14480.0
Lemsterland-G0082;;12;2314;1386;1733;420;313;163;233;45;24;29.0;18;;13;23;3;7;;2;;144.0;1;;2266.0
Leusden-G0327;;13;3450;5478;3070;2087;1073;239;274;227;600;56.0;58;96.0;60;46;25;20;9.0;2;6.0;5.0;4;5.0;3636.0
Lichtenvoorde-G0260;;9;3077;2116;4223;653;511;183;15;3;12;32.0;24;33.0;29;39;9;9;11.0;6;12.0;1.0;1;3.0;2874.0
Liemeer-G1673;;5;620;1272;1092;270;154;70;100;52;18;42.0;16;26.0;5;27;3;3;5.0;1;;1.0;1;1.0;1180.0
Lienden-G0261;;6;1492;1377;613;265;148;53;148;408;40;;8;33.0;9;27;1;5;2.0;0;;2.0;0;1.0;1252.0
Liesveld-G0694;;14;1292;1170;1162;229;151;64;658;772;196;21.0;16;25.0;5;10;7;3;2.0;1;2.0;1.0;2;0.0;1005.0
Limmen-G0418;;2;981;1346;826;409;207;62;9;6;4;10.0;9;36.0;10;15;3;18;7.0;0;;1.0;2;0.0;844.0
