div;seats;layout;orientation;ratio;cx;cy
Ain;1;Regular;;;1414.730;992.793
Aisne;1;Regular;;;1187.572;344.566
Allier;1;Regular;;;1138.288;929.459
Alpes-de-Haute-Provence;1;Regular;;;1525.135;1352.252
Hautes-Alpes;1;Regular;;;1541.396;1235.000
Alpes-Maritimes;1;Regular;;;1644.099;1389.054
Ardèche;1;Regular;;;1296.622;1247.838
Ardennes;1;Regular;;;1324.865;346.622
Ariège;1;Regular;;;927.748;1571.351
Aube;1;Regular;;;1262.815;587.973
Aude;1;Regular;;;1059.550;1542.703
Aveyron;1;Regular;;;1081.802;1324.865
Bouches-du-Rhône;1;Regular;;;1384.775;1467.793
Calvados;1;Regular;;1.25;690.946;433.063
Cantal;1;Regular;;;1071.532;1171.667
Charente;1;Regular;;;754.009;1066.396
Charente-Maritime;1;Regular;;;623.919;1033.018
Cher;1;Regular;;;1054.414;806.216
Corrèze;1;Regular;;;973.108;1129.730
Corse-du-Sud;1;Regular;;;1870.901;1766.487
Haute-Corse;1;Regular;;;1900.000;1650.090
Côte-d'Or;1;Regular;;;1340.270;748.018
Côtes-d'Armor;1;Regular;;;402.144;578.288
Creuse;1;Regular;;;991.937;993.649
Dordogne;1;Regular;;;833.045;1173.378
Doubs;1;Regular;;;1579.600;821.550
Drôme;1;Regular;;;1398.468;1238.423
Eure;1;Regular;;;836.982;444.998
Eure-et-Loir;1;Regular;;;910.360;599.480
Finistère;1;Regular;;;212.561;596.895
Gard;1;Regular;;;1275.225;1377.072
Haute-Garonne;1;Regular;;;908.919;1464.369
Gers;1;Regular;;;795.090;1425.000
Gironde;1;Regular;;;659.009;1221.306
Hérault;1;Regular;;;1162.252;1451.532
Ille-et-Vilaine;1;Regular;;;529.775;617.072
Indre;1;Regular;;;936.306;867.838
Indre-et-Loire;1;Regular;;;827.613;775.405
Isère;1;Regular;;;1446.396;1136.577
Jura;1;Regular;;;1463.086;877.680
Landes;1;Regular;;;635.045;1383.063
Loir-et-Cher;1;Regular;;;917.477;715.495
Loire;1;Regular;;0.67;1248.904;1056.436
Haute-Loire;1;Regular;;;1218.739;1168.514
Loire-Atlantique;1;Regular;;;510.946;743.694
Loiret;1;Regular;;;1034.517;657.949
Lot;1;Regular;;;934.595;1258.964
Lot-et-Garonne;1;Regular;;;795.946;1307.748
Lozère;1;Regular;;;1182.793;1282.072
Maine-et-Loire;1;Regular;;;666.712;752.297
Manche;1;Regular;;;568.063;441.530
Marne;1;Regular;;;1280.360;460.450
Haute-Marne;1;Regular;;;1400.608;622.207
Mayenne;1;Regular;;;647.883;623.063
Meurthe-et-Moselle;1;Regular;;1.25;1567.877;522.745
Meuse;1;Regular;;;1413.874;469.437
Morbihan;1;Regular;;;378.288;677.838
Moselle;1;Regular;;1.25;1568.738;425.365
Nièvre;1;Regular;;;1184.077;804.505
Nord;1;Regular;;;1171.094;209.761
Oise;1;Regular;;1.75;1032.985;369.421
Orne;1;Regular;;;744.786;523.066
Pas-de-Calais;1;Regular;;;1019.607;164.671
Puy-de-Dôme;1;Regular;;;1124.757;1055.559
Pyrénées-Atlantiques;1;Regular;;;633.333;1507.162
Hautes-Pyrénées;1;Regular;;;756.577;1543.964
Pyrénées-Orientales;1;Regular;;;1075.811;1632.973
Bas-Rhin;1;Regular;;;1722.455;519.932
Haut-Rhin;1;Regular;;;1659.505;662.860
Circonscription départementale du Rhône;1;Regular;;0.67;1325.238;1030.342
Haute-Saône;1;Regular;;;1512.644;701.698
Saône-et-Loire;1;Regular;;;1311.032;882.095
Sarthe;1;Regular;;;763.423;645.315
Savoie;1;Regular;;;1568.784;1114.324
Haute-Savoie;1;Regular;;;1543.964;989.369
Paris;1;Regular;;0.75;1652.434;176.108
Seine-Maritime;1;Regular;;;862.703;336.351
Seine-et-Marne;1;Regular;;;1153.625;520.419
Yvelines;1;Regular;;0.8;944.910;488.837
Deux-Sèvres;1;Regular;;;689.820;908.063
Somme;1;Regular;;;1028.143;286.186
Tarn;1;Regular;;;1009.910;1407.883
Tarn-et-Garonne;1;Regular;;;896.937;1360.811
Var;1;Regular;;;1545.405;1469.504
Vaucluse;1;Regular;;;1405.045;1362.522
Vendée;1;Regular;;;565.721;898.649
Vienne;1;Regular;;;793.378;904.640
Haute-Vienne;1;Regular;;;889.234;1024.459
Vosges;1;Regular;;1.5;1552.893;615.068
Yonne;1;Regular;;;1187.500;670.135
Territoire de Belfort;1;Regular;;;1612.816;726.590
Essonne;1;Regular;;;1045.118;541.372
Hauts-de-Seine;1;Regular;;0.5;1572.046;189.196
Seine-Saint-Denis;1;Regular;;;1750.755;116.431
Val-de-Marne;1;Regular;;;1755.587;242.715
Val-d'Oise;1;Regular;;;1047.222;447.649
Guadeloupe;1;Regular;;;125.088;1254.724
Martinique;1;Regular;;;125.088;1429.724
Guyane;1;Regular;;;125.088;1604.724
La Réunion;1;Regular;;;125.088;1779.724
Saint-Pierre-et-Miquelon;1;Regular;;;300.088;1779.724
Mayotte;1;Regular;;;300.088;1254.724
Saint-Martin;1;Regular;;;263.088;1042.724
Saint-Barthélémy;1;Regular;;;337.088;1116.724
Saint-Martin et Saint-Barthélémy;1;Regular;;;263.088;1116.724
Wallis-et-Futuna;1;Regular;;;300.088;1604.724
Polynésie-Française;1;Regular;;;300.088;1429.724
Nouvelle-Calédonie;1;Regular;;;125.088;1079.724
Français vivant hors de France;1;Regular;;;125.088;904.724
Parlement européen;1;Regular;;;300.088;904.724