;Emmanuel Macron;Marine Le Pen;François Fillon;Jean-Luc Mélenchon;Benoît Hamon;Nicolas Dupont-Aignan;Jean Lassalle;Philippe Poutou;François Asselineau;Nathalie Arthaud;Jacques Cheminade;@
Ain;73692;81455;69805;51736;16711;19788;3465;3098;3612;1842;595;90087
Aisne;51680;102770;46969;48950;12230;14651;2264;3156;2171;2763;536;87612
Allier;45651;43004;36457;38311;10619;9795;2986;2322;1422;1540;353;61048
Alpes-de-Haute-Provence;19960;24463;18442;22448;4983;4861;1721;1178;932;521;205;26864
Hautes-Alpes;18948;18474;16645;18796;5109;4938;1609;1049;783;411;165;22980
Alpes-Maritimes;111953;163141;161036;87941;21067;25175;5262;3622;6067;1729;939;173829
Ardèche;42320;45305;33835;42622;11757;9926;3546;2602;1969;1303;371;53702
Ardennes;26912;47578;25273;26172;7234;7810;1406;1693;1080;1378;267;47576
Ariège;19523;20247;11892;24970;7326;3369;3304;1180;799;556;140;24103
Aube;30565;48846;37122;22496;6545;10235;1159;1387;1317;1107;289;42779
Aude;43015;60585;32281;46126;13614;8265;4642;2507;1783;1195;348;58334
Aveyron;45584;28588;36664;34689;10878;8554;6461;2322;1304;1106;313;41813
Bouches-du-Rhône;203312;286397;207466;231194;47564;40447;10040;8006;9418;4114;1740;322696
Calvados;99720;81770;82340;75620;27293;20079;2911;5269;2830;3099;691;99531
Cantal;24477;16641;21589;14566;4810;4047;2840;1179;527;692;198;25859
Charente;49889;42598;33744;40755;12569;10008;3085;2724;1540;1651;450;60941
Charente-Maritime;91355;80764;78659;72491;22023;20333;5276;4876;3020;2576;692;109304
Cher;38076;41753;32967;33694;9157;9554;1925;2106;1479;1630;345;56297
Corrèze;39218;25253;25427;30357;9263;7049;4253;2319;1094;1051;329;39664
Corse-du-Sud;13022;20858;18714;10085;2546;2218;3948;657;485;218;117;35913
Haute-Corse;15506;22183;20739;11229;3234;2244;4763;717;480;277;136;43367
Côte-d'Or;67436;64200;60625;50859;16810;14980;2635;2818;2457;1795;509;75534
Côtes-d'Armor;104969;61703;68916;76013;32260;15958;3554;5468;2479;3028;621;80989
Creuse;15807;13966;12637;14827;5494;3521;1352;1209;580;684;174;22862
Dordogne;55945;52044;42510;57132;15783;11424;6050;3578;2128;1626;490;65310
Doubs;63954;66635;59929;50803;16318;14733;2532;3565;3129;2051;530;84222
Drôme;63164;68996;53403;58037;17385;14997;3868;3174;2988;2196;533;80748
Eure;66986;98719;63436;58844;16999;19096;2602;3933;2927;2633;602;90756
Eure-et-Loir;51038;58886;51275;38035;12317;14103;1942;2659;2253;1817;454;66687
Finistère;164095;77366;99965;109607;60781;22737;6192;8250;3697;3638;857;133386
Gard;79006;123273;72366;90905;20473;17808;5946;4044;4096;2092;673;117257
Haute-Garonne;190128;120225;118608;170446;60180;27833;14445;7116;5955;3166;1291;187260
Gers;27775;23387;21312;23089;9527;5378;5059;1254;1037;677;188;26276
Gironde;222287;155319;145283;185888;64300;35530;16460;13233;7013;3980;1527;236162
Hérault;128621;161119;110339;143996;36180;23159;8461;5660;5919;2496;894;173550
Ille-et-Vilaine;181373;84648;114034;118096;53418;26822;4531;7065;3994;4339;1021;130801
Indre;27301;31985;25476;24938;7786;7177;1728;1757;1098;1390;298;39475
Indre-et-Loire;83165;64522;72196;65931;22898;18452;2929;3907;2620;2606;679;88966
Isère;164091;147910;112927;135949;43652;33773;6537;6382;6558;3595;1140;193852
Jura;31896;36110;28373;30331;7589;8533;1994;1980;1330;1148;285;40763
Landes;61043;44956;42464;49949;21550;11021;10485;2875;1916;1235;372;62331
Loir-et-Cher;40639;48662;42756;31576;10956;11646;1843;2198;1516;1542;404;51583
Loire;90677;94222;71848;73388;22698;22689;5041;4107;3483;2547;667;119442
Haute-Loire;32821;32185;25956;25419;7435;8346;3112;1928;1050;1043;282;37581
Loire-Atlantique;232602;111194;159703;178357;65140;36546;6029;9618;6129;4785;1354;182081
Loiret;83506;83662;75655;58134;20438;21128;3203;3655;3109;2380;702;97035
Lot;29527;17865;18459;26014;7951;4550;3073;1528;871;723;226;25535
Lot-et-Garonne;39253;47271;34828;36018;10639;9407;6083;2292;1660;1044;327;52109
Lozère;10463;9097;10986;9483;2733;2197;1764;683;354;294;93;11361
Maine-et-Loire;121685;77935;108888;78293;29553;25321;3483;5696;3439;3860;805;110467
Manche;74683;61620;64909;51026;19238;17052;2520;4134;2048;2593;623;78658
Marne;60958;82473;65081;44424;13683;16896;2350;2762;2441;2176;525;87927
Haute-Marne;18438;34027;19590;15380;4292;6417;1126;1233;813;926;198;31708
Mayenne;46938;30465;48772;26798;10247;10107;1525;2242;1182;1627;329;42093
Meurthe-et-Moselle;83703;98194;62654;77400;23632;19331;3236;4483;3458;2942;733;115325
Meuse;20713;34602;19287;16020;4918;6802;1294;1430;856;886;237;30584
Morbihan;130639;82927;97900;82020;34368;22411;4820;6309;3249;3291;901;108177
Moselle;117738;158542;96003;100118;29480;32525;5763;6975;5977;4929;1167;192054
Nièvre;27356;29817;20773;23079;7854;6446;1365;1547;959;1004;234;38991
Nord;268723;382030;226710;288115;76531;65245;8535;13151;11450;10975;2338;450865
Oise;86680;135188;76783;77415;20525;23936;3414;4682;4666;3677;827;124292
Orne;35815;39532;41084;24542;8659;9644;1480;2147;1291;1513;350;42677
Pas-de-Calais;153682;286147;119077;159342;43084;41427;5832;9002;5484;8667;1408;257216
Puy-de-Dôme;96797;63030;58432;78417;25814;15635;7348;4730;2910;2699;755;104372
Pyrénées-Atlantiques;103958;54376;71858;78803;30589;14727;29882;6371;2782;1799;508;106725
Hautes-Pyrénées;35070;25947;20220;32148;9935;5876;6928;1575;1023;767;200;38001
Pyrénées-Orientales;49245;80169;45865;56392;13455;9741;4634;3053;2303;1477;453;81127
Bas-Rhin;133347;147714;131564;88420;31931;39299;6420;6549;6841;4823;1197;168434
Haut-Rhin;79798;109704;90237;57856;18694;28562;5004;4727;5217;3101;1010;122280
Rhône;31080;32224;32721;20557;6918;8489;1401;1215;1355;719;228;53809
Métropole de Lyon;205057;112252;173060;154494;53176;29940;5302;5931;7833;3342;1218;324365
Haute-Saône;27332;43753;25184;22150;6596;8176;1512;2021;1206;1325;267;39692
Saône-et-Loire;69212;75258;60100;55249;19184;18961;3153;3588;2535;2201;510;96467
Sarthe;64618;67083;92261;56851;17195;13657;2141;3565;2074;2452;547;82996
Savoie;55871;52448;50815;45013;13752;13673;3152;2578;2608;1219;430;68678
Haute-Savoie;100174;77919;105057;67079;21805;24785;4649;4263;5021;1919;827;126535
Paris;375006;53719;284744;210548;109550;17997;5490;6799;8337;2897;1472;225078
Seine-Maritime;145756;170945;118336;152394;41516;33036;4383;8321;5205;5356;1278;195132
Seine-et-Marne;157314;155521;120968;141827;38772;41505;5182;6354;8195;3706;1247;200967
Yvelines;219063;98024;206835;126345;52564;32906;5371;5448;8148;2872;1358;192214
Deux-Sèvres;57826;38640;40195;41609;14950;11356;2599;3483;1478;1869;393;57987
Somme;69520;97081;51834;59491;14260;15462;2365;3661;2272;3111;579;89378
Tarn;51755;52402;41052;48094;15530;11440;7105;2721;1822;1397;439;57437
Tarn-et-Garonne;30319;39183;25992;27841;8567;7233;3660;1573;1337;830;266;36540
Var;108597;186376;152316;94184;21089;29177;6933;4655;5860;2274;977;182339
Vaucluse;58208;95930;59619;60852;13553;14452;3989;2804;2890;1388;543;88095
Vendée;109989;77590;106804;63156;21356;24211;3810;5219;2705;3294;696;95612
Vienne;59146;47024;42703;49061;16861;11920;2861;3642;1896;2074;560;69266
Haute-Vienne;55577;37937;32522;46549;16136;9285;3518;3044;1557;1850;440;57907
Vosges;43604;63924;39579;36524;10887;14323;2750;3229;2223;2004;455;63110
Yonne;36234;52640;36739;30815;8846;11668;1987;2128;1775;1380;341;57365
Territoire de Belfort;14771;19249;12668;13672;4189;3770;669;886;941;592;167;23716
Essonne;163389;102461;112478;136392;42072;44793;4468;5755;7514;2924;1241;171740
Hauts-de-Seine;256687;60731;231553;145289;57114;21359;4747;5033;8453;2447;1345;191972
Seine-Saint-Denis;130103;73534;69063;184123;45506;16601;3160;6050;8739;3235;1088;225692
Val-de-Marne;172202;69878;122814;149112;47228;26252;3957;5226;7303;2749;1066;177753
Val-d'Oise;138752;94158;101131;131342;37518;24790;3975;5040;7702;2752;978;182359
Guadeloupe;33930;15159;16305;27081;11165;2042;650;2300;1312;1972;326;204103
Martinique;27893;11949;18400;29903;10661;2338;870;3217;1407;2253;373;201548
Guyane;5031;6521;3935;6633;1529;472;273;1405;480;462;98;66096
La Réunion;66292;82219;60508;85987;26872;10123;1939;4377;6029;5190;944;289001
Mayotte;6364;9008;10808;2789;1434;1019;182;621;408;334;163;49917
Nouvelle-Calédonie;11089;25290;27065;7703;8125;2521;695;1284;2098;836;240;102537
Polynésie-Française;11119;24604;26679;5952;2203;1767;447;755;1206;689;201;128318
Saint-Pierre-et-Miquelon;473;478;261;933;217;79;54;64;36;28;9;2334
Wallis-et-Futuna;1630;380;1526;192;1349;79;29;41;50;54;18;3116
Saint-Martin;1117;1203;1376;854;176;121;41;66;65;26;15;14472
Saint-Barthélémy;455;631;1142;299;71;95;27;26;47;9;3;2851
Français vivant hors de France;223879;35926;145829;87692;38092;8837;2530;3414;5578;1312;1030;709471